customer_id,age,age_group,gender,education,employment_status,marital_status,city_tier,occupation,customer_since,customer_tenure_years,income_id,monthly_income,annual_income,income_source,income_stability,income_band,expense_id,housing_expense,food_expense,transportation_expense,healthcare_expense,entertainment_expense,utilities_expense,other_expense,total_monthly_expense,expense_to_income_ratio,disposable_income,savings_id,monthly_savings,savings_balance,savings_rate,emergency_fund_status,net_savings_capacity,savings_behavior_tier,debt_id,credit_card_debt,personal_loan,education_loan,vehicle_loan,mortgage,total_debt,debt_to_income_ratio,credit_id,credit_score,payment_behavior,missed_payments,credit_utilization,credit_risk_category,debt_risk_tier,total_transactions,total_transaction_amount,avg_transaction_amount,last_transaction_date,total_products,active_products,customer_segment
CUST-00001,56,50-64,Female,High School,Self-Employed,Single,Tier 3,Healthcare,2021-01-17,4.95,INC-00001,6313.01,75756.12,Business,Low,Upper-Middle ($6k-$10k),EXP-00001,1398.06,874.61,412.75,204.11,632.0,448.65,180.46,4150.64,0.6575,2162.37,SAV-00001,1202.68,76433.81,0.1905,Fully Funded,959.69,Healthy Saver,DEBT-00001,10309.06,0.0,0.0,12469.28,0.0,22778.34,0.0433,CRED-00001,699,On-Time,0,0.38,Medium Risk,Moderate Risk,5,626.06,125.21,2023-09-05 00:00:00,2,2,Emerging Customers
CUST-00002,69,65+,Male,Associate,Retired,Single,Tier 1,Retired,2022-03-15,3.8,INC-00002,5763.26,69159.12,Pension/Government,High,Middle ($2.5k-$6k),EXP-00002,2305.47,705.69,359.4,175.9,575.07,278.14,291.91,4691.58,0.814,1071.68,SAV-00002,841.53,36669.38,0.146,Fully Funded,230.15,Moderate Saver,DEBT-00002,11049.72,0.0,0.0,26648.97,0.0,37698.69,0.0785,CRED-00002,756,On-Time,0,0.11,Low Risk,Low Risk,9,7186.98,798.55,2025-08-09 00:00:00,2,2,Emerging Customers
CUST-00003,46,35-49,Female,Associate,Employed,Single,Tier 2,Finance/Banking,2019-12-13,6.05,INC-00003,5703.76,68445.12,Salary,High,Middle ($2.5k-$6k),EXP-00003,1786.69,694.59,337.35,283.03,253.67,409.81,215.65,3980.79,0.6979,1722.97,SAV-00003,859.13,78418.88,0.1506,Fully Funded,863.84,Healthy Saver,DEBT-00003,5980.29,0.0,0.0,0.0,0.0,5980.29,0.0126,CRED-00003,754,On-Time,0,0.13,Low Risk,Low Risk,6,2112.95,352.16,2025-12-05 00:00:00,2,2,Emerging Customers
CUST-00004,32,25-34,Male,Doctorate,Employed,Single,Tier 3,Trades/Manufacturing,2019-02-17,6.87,INC-00004,6949.3,83391.6,Salary,High,Upper-Middle ($6k-$10k),EXP-00004,1347.45,1243.04,628.77,364.63,595.53,366.66,344.63,4890.71,0.7038,2058.59,SAV-00004,1364.66,90306.43,0.1964,Fully Funded,693.93,Healthy Saver,DEBT-00004,8773.58,0.0,0.0,18521.5,0.0,27295.08,0.0471,CRED-00004,795,On-Time,0,0.15,Low Risk,Low Risk,3,2342.09,780.7,2024-01-06 00:00:00,2,1,Financially Strong
CUST-00005,60,50-64,Male,Bachelor'S,Employed,Married,Tier 1,Management/Executive,2022-11-01,3.16,INC-00005,7459.55,89514.6,Salary,Medium,Upper-Middle ($6k-$10k),EXP-00005,2454.65,929.23,732.8,385.67,712.53,524.73,310.53,6050.14,0.8111,1409.41,SAV-00005,756.18,24877.62,0.1014,Partially Funded,653.23,Moderate Saver,DEBT-00005,11222.65,0.0,0.0,0.0,385853.08,397075.73,0.6388,CRED-00005,569,Frequently Late,7,0.84,Very High Risk,Critical Risk,7,2541.01,363.0,2025-11-26 00:00:00,2,2,Debt-Burdened
CUST-00006,25,25-34,Male,Bachelor'S,Employed,Married,Tier 3,Healthcare,2020-07-03,5.49,INC-00006,5628.53,67542.36,Salary,High,Middle ($2.5k-$6k),EXP-00006,1149.61,897.48,468.14,380.88,370.07,392.62,151.58,3810.38,0.677,1818.15,SAV-00006,1013.04,62627.28,0.18,Fully Funded,805.11,Healthy Saver,DEBT-00006,2792.94,0.0,28522.58,0.0,0.0,31315.52,0.0668,CRED-00006,781,On-Time,0,0.24,Low Risk,Low Risk,9,2641.2,293.47,2025-03-31 00:00:00,2,1,Emerging Customers
CUST-00007,38,35-49,Male,Doctorate,Employed,Married,Tier 3,Trades/Manufacturing,2022-09-06,3.32,INC-00007,11391.62,136699.44,Salary,High,High (>$10k),EXP-00007,2721.59,1526.37,956.87,728.63,564.04,729.59,608.34,7835.43,0.6878,3556.19,SAV-00007,1876.38,93498.64,0.1647,Fully Funded,1679.81,Healthy Saver,DEBT-00007,0.0,11985.09,0.0,0.0,400371.12,412356.21,0.4344,CRED-00007,623,Frequently Late,4,0.65,High Risk,Critical Risk,7,2168.9,309.84,2025-03-07 00:00:00,3,2,Debt-Burdened
CUST-00008,56,50-64,Male,High School,Employed,Divorced,Tier 1,Software/Tech,2019-11-16,6.12,INC-00008,3963.67,47564.04,Salary,High,Middle ($2.5k-$6k),EXP-00008,1391.82,601.94,400.04,123.61,212.35,226.5,200.84,3157.1,0.7965,806.57,SAV-00008,528.42,49931.29,0.1333,Fully Funded,278.15,Moderate Saver,DEBT-00008,681.17,3016.04,0.0,0.0,0.0,3697.21,0.0112,CRED-00008,761,On-Time,0,0.22,Low Risk,Low Risk,9,2179.61,242.18,2025-10-25 00:00:00,1,1,Emerging Customers
CUST-00009,75,65+,Male,Bachelor'S,Retired,Married,Tier 1,Retired,2019-07-05,6.49,INC-00009,7626.76,91521.12,Pension/Government,High,Upper-Middle ($6k-$10k),EXP-00009,2949.65,1145.46,598.09,481.66,488.82,430.82,228.04,6322.54,0.829,1304.22,SAV-00009,1021.58,100597.13,0.1339,Fully Funded,282.64,Moderate Saver,DEBT-00009,0.0,0.0,0.0,13194.18,0.0,13194.18,0.0208,CRED-00009,697,On-Time,0,0.22,Medium Risk,Moderate Risk,5,359.85,71.97,2023-04-15 00:00:00,4,3,High-Income High-Spenders
CUST-00010,36,35-49,Female,Bachelor'S,Employed,Single,Tier 1,Education,2024-10-08,1.23,INC-00010,5090.4,61084.8,Salary,High,Middle ($2.5k-$6k),EXP-00010,1901.58,768.85,304.27,236.41,482.15,327.34,294.0,4314.6,0.8476,775.8,SAV-00010,483.84,8250.54,0.095,Low,291.96,Moderate Saver,DEBT-00010,7598.76,0.0,19407.39,25323.1,0.0,52329.25,0.1234,CRED-00010,667,Frequently Late,4,0.57,High Risk,Critical Risk,3,751.42,250.47,2025-09-30 00:00:00,2,2,Debt-Burdened
