year_month,txn_year,txn_month,category,total_transactions,active_transacting_customers,total_amount,avg_transaction_amount,debit_count,credit_count,total_debit_amount,total_credit_amount
2018-01,2018,01,Education,1,1,786.94,786.94,1,0,786.94,0.0
2018-01,2018,01,Healthcare,1,1,69.25,69.25,1,0,69.25,0.0
2018-02,2018,02,Education,1,1,1162.33,1162.33,1,0,1162.33,0.0
2018-02,2018,02,Entertainment,2,2,171.55,85.78,2,0,171.55,0.0
2018-02,2018,02,Groceries,5,5,711.61,142.32,5,0,711.61,0.0
2018-02,2018,02,Healthcare,2,2,721.77,360.88,2,0,721.77,0.0
2018-02,2018,02,Shopping,2,2,446.61,223.31,2,0,446.61,0.0
2018-02,2018,02,Subscription,2,2,41.37,20.69,2,0,41.37,0.0
2018-02,2018,02,Transfer,1,1,1493.9,1493.9,1,0,1493.9,0.0
2018-02,2018,02,Travel,2,2,1464.44,732.22,2,0,1464.44,0.0
2018-02,2018,02,Utilities,1,1,141.7,141.7,1,0,141.7,0.0
2018-03,2018,03,Dining,1,1,82.95,82.95,1,0,82.95,0.0
2018-03,2018,03,Education,2,2,2427.96,1213.98,2,0,2427.96,0.0
2018-03,2018,03,Entertainment,1,1,61.7,61.7,1,0,61.7,0.0
2018-03,2018,03,Groceries,2,2,272.01,136.0,2,0,272.01,0.0
2018-03,2018,03,Healthcare,4,4,1497.2,374.3,4,0,1497.2,0.0
2018-03,2018,03,Shopping,2,2,616.22,308.11,2,0,616.22,0.0
2018-03,2018,03,Subscription,2,2,55.26,27.63,2,0,55.26,0.0
2018-03,2018,03,Transfer,4,4,3575.98,894.0,3,1,2980.13,595.85
2018-03,2018,03,Travel,2,2,900.4,450.2,2,0,900.4,0.0
2018-04,2018,04,Dining,3,3,210.56,70.19,3,0,210.56,0.0
2018-04,2018,04,Education,4,4,3578.83,894.71,4,0,3578.83,0.0
2018-04,2018,04,Entertainment,1,1,76.04,76.04,1,0,76.04,0.0
2018-04,2018,04,Groceries,3,3,514.04,171.35,3,0,514.04,0.0
2018-04,2018,04,Healthcare,1,1,49.87,49.87,1,0,49.87,0.0
2018-04,2018,04,Shopping,1,1,49.95,49.95,1,0,49.95,0.0
2018-04,2018,04,Subscription,3,3,117.6,39.2,3,0,117.6,0.0
2018-04,2018,04,Transfer,1,1,624.19,624.19,1,0,624.19,0.0
2018-04,2018,04,Travel,2,2,909.14,454.57,2,0,909.14,0.0
2018-04,2018,04,Utilities,2,2,535.72,267.86,2,0,535.72,0.0
2018-05,2018,05,Dining,3,3,175.78,58.59,3,0,175.78,0.0
2018-05,2018,05,Education,3,3,1742.13,580.71,3,0,1742.13,0.0
2018-05,2018,05,Entertainment,3,3,164.57,54.86,3,0,164.57,0.0
2018-05,2018,05,Groceries,5,5,888.91,177.78,5,0,888.91,0.0
2018-05,2018,05,Healthcare,3,3,1069.71,356.57,3,0,1069.71,0.0
2018-05,2018,05,Shopping,7,7,1380.81,197.26,7,0,1380.81,0.0
2018-05,2018,05,Subscription,4,4,122.85,30.71,4,0,122.85,0.0
2018-05,2018,05,Transfer,4,4,5396.28,1349.07,1,3,2123.71,3272.57
2018-05,2018,05,Travel,3,3,2511.08,837.03,3,0,2511.08,0.0
2018-05,2018,05,Utilities,2,2,452.41,226.2,2,0,452.41,0.0
2018-06,2018,06,Dining,3,3,81.32,27.11,3,0,81.32,0.0
2018-06,2018,06,Education,6,6,6471.16,1078.53,6,0,6471.16,0.0
2018-06,2018,06,Entertainment,4,4,639.12,159.78,4,0,639.12,0.0
2018-06,2018,06,Groceries,8,8,1157.33,144.67,8,0,1157.33,0.0
2018-06,2018,06,Healthcare,4,4,1563.3,390.82,4,0,1563.3,0.0
2018-06,2018,06,Shopping,5,5,956.8,191.36,5,0,956.8,0.0
2018-06,2018,06,Subscription,5,5,176.81,35.36,5,0,176.81,0.0
2018-06,2018,06,Transfer,4,4,2225.08,556.27,2,2,323.71,1901.37
