customer_id,segment_key,risk_key,monthly_income,annual_income,total_monthly_expense,housing_expense,food_expense,transportation_expense,healthcare_expense,entertainment_expense,utilities_expense,other_expense,disposable_income,expense_to_income_ratio,monthly_savings,savings_balance,savings_rate,emergency_fund_status,net_savings_capacity,savings_behavior_tier,credit_card_debt,personal_loan,education_loan,vehicle_loan,mortgage,total_debt,debt_to_income_ratio,credit_score,payment_behavior,missed_payments,credit_utilization,credit_risk_category,debt_risk_tier,total_transactions,total_transaction_amount,avg_transaction_amount,total_products,active_products,r_score,f_score,m_score,rfm_score_code,rfm_composite_score,rfm_segment,financial_health_score
CUST-00821,SEG_SAVERS,RISK_LOW_RISK_LOW_RISK,5086.03,61032.36,3327.8,1016.98,752.4,472.24,309.64,251.79,336.95,187.8,1758.23,0.6543,1017.26,88415.22,0.2,Fully Funded,740.97,Excellent Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755,On-Time,0,0.07,Low Risk,Low Risk,2,1451.28,725.64,2,2,1,1,3,113,1.67,Lost,95.68
CUST-02660,SEG_EMERGING,RISK_HIGH_RISK_HIGH_RISK,5730.11,68761.32,3936.55,1418.31,840.01,326.32,383.99,331.97,373.52,262.43,1793.56,0.687,850.49,95358.22,0.1484,Fully Funded,943.07,Moderate Saver,8539.1,0.0,18745.65,0.0,0.0,27284.75,0.0571,652,Occasional Late,2,0.72,High Risk,High Risk,2,1328.91,664.45,2,2,1,1,2,112,1.33,Lost,71.83
CUST-05363,SEG_CREDIT_RISK,RISK_HIGH_RISK_CRITICAL_RISK,1094.77,13137.24,892.55,367.46,196.28,90.16,50.96,63.39,72.83,51.47,202.22,0.8153,125.76,13110.94,0.1149,Fully Funded,76.46,Moderate Saver,0.0,0.0,34475.21,0.0,0.0,34475.21,0.3779,666,Occasional Late,3,0.68,High Risk,Critical Risk,2,111.21,55.61,2,2,1,1,1,111,1.0,Lost,54.42
CUST-13803,SEG_HIGH_SPEND,RISK_MEDIUM_RISK_HIGH_RISK,9903.06,118836.72,7540.59,3104.95,1607.1,950.11,377.04,767.42,527.41,206.56,2362.47,0.7614,1181.91,118155.18,0.1193,Fully Funded,1180.56,Moderate Saver,11662.23,4588.81,0.0,0.0,0.0,16251.04,0.0197,720,On-Time,1,0.47,Medium Risk,High Risk,2,668.36,334.18,1,1,1,1,1,111,1.0,Lost,76.49
CUST-13390,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,9136.77,109641.24,6332.45,2453.33,1323.8,689.02,493.41,414.65,606.57,351.67,2804.32,0.6931,1803.14,215984.3,0.1973,Fully Funded,1001.18,Healthy Saver,5089.63,0.0,0.0,0.0,0.0,5089.63,0.0067,709,On-Time,0,0.49,Medium Risk,Moderate Risk,3,2415.5,805.17,4,3,1,2,4,124,2.33,Lost,93.02
CUST-11021,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,1430.27,17163.24,967.01,345.2,255.86,115.26,50.34,54.97,78.12,67.26,463.26,0.6761,226.05,21383.34,0.158,Fully Funded,237.21,Healthy Saver,1876.66,0.0,0.0,10826.16,0.0,12702.82,0.1066,694,On-Time,0,0.21,Medium Risk,Moderate Risk,2,418.26,209.13,2,2,1,1,1,111,1.0,Lost,83.94
CUST-14084,SEG_EMERGING,RISK_MEDIUM_RISK_LOW_RISK,1353.6,16243.2,1006.82,396.5,232.92,118.43,89.83,72.84,66.71,29.59,346.78,0.7438,221.66,16629.55,0.1638,Fully Funded,125.12,Healthy Saver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745,On-Time,0,0.48,Medium Risk,Low Risk,2,289.54,144.77,2,1,1,1,1,111,1.0,Lost,89.8
CUST-08968,SEG_DEBT_BURDENED,RISK_HIGH_RISK_CRITICAL_RISK,6716.03,80592.36,4880.67,1600.21,929.3,695.42,391.72,610.98,380.06,272.98,1835.36,0.7267,1430.44,94868.7,0.213,Fully Funded,404.92,Excellent Saver,11887.94,20298.18,0.0,0.0,167387.64,199573.76,0.3566,667,Frequently Late,4,0.6,High Risk,Critical Risk,2,329.41,164.71,1,1,1,1,1,111,1.0,Lost,62.77
CUST-06608,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,2518.51,30222.12,2165.31,990.05,364.04,235.79,123.47,150.14,158.48,143.34,353.2,0.8598,282.44,25054.83,0.1121,Fully Funded,70.76,Moderate Saver,1108.54,15334.01,0.0,0.0,0.0,16442.55,0.0783,717,On-Time,0,0.25,Medium Risk,Moderate Risk,2,1561.04,780.52,4,2,1,1,3,113,1.67,Lost,78.81
CUST-00722,SEG_EMERGING,RISK_MEDIUM_RISK_MODERATE_RISK,4606.39,55276.68,3765.1,1837.25,628.2,357.69,193.82,306.01,314.51,127.62,841.29,0.8174,641.86,59398.4,0.1393,Fully Funded,199.43,Moderate Saver,6394.35,0.0,0.0,0.0,0.0,6394.35,0.0167,714,On-Time,0,0.34,Medium Risk,Moderate Risk,2,1652.3,826.15,2,2,1,1,3,113,1.67,Lost,84.3
