product_id,customer_id,product_type_key,product_type,product_status,signup_date_key,is_active
PROD-00001,CUST-00001,PROD_SAVINGS,Savings Account,Active,2021-01-17,1
PROD-00002,CUST-00001,PROD_PERSONAL_LOAN,Personal Loan,Active,2023-10-06,1
PROD-00003,CUST-00002,PROD_SAVINGS,Savings Account,Active,2022-03-15,1
PROD-00004,CUST-00002,PROD_RETIREMENT,Retirement Account,Active,2025-03-06,1
PROD-00005,CUST-00003,PROD_SAVINGS,Savings Account,Active,2019-12-13,1
PROD-00006,CUST-00003,PROD_AUTO_LOAN,Auto Loan,Active,2022-10-31,1
PROD-00007,CUST-00004,PROD_SAVINGS,Savings Account,Active,2019-02-17,1
PROD-00008,CUST-00004,PROD_CREDIT_CARD,Credit Card,Closed,2025-04-30,0
PROD-00009,CUST-00005,PROD_SAVINGS,Savings Account,Active,2022-11-01,1
PROD-00010,CUST-00005,PROD_CREDIT_CARD,Credit Card,Active,2023-05-10,1
PROD-00011,CUST-00006,PROD_SAVINGS,Savings Account,Active,2020-07-03,1
PROD-00012,CUST-00006,PROD_CREDIT_CARD,Credit Card,Churned,2025-01-31,0
PROD-00013,CUST-00007,PROD_SAVINGS,Savings Account,Active,2022-09-06,1
PROD-00014,CUST-00007,PROD_PERSONAL_LOAN,Personal Loan,Closed,2023-12-31,0
PROD-00015,CUST-00007,PROD_MORTGAGE,Mortgage,Active,2025-03-07,1
PROD-00016,CUST-00008,PROD_SAVINGS,Savings Account,Active,2019-11-16,1
PROD-00017,CUST-00009,PROD_SAVINGS,Savings Account,Active,2019-07-05,1
PROD-00018,CUST-00009,PROD_INVESTMENT,Investment Account,Active,2025-02-05,1
PROD-00019,CUST-00009,PROD_AUTO_LOAN,Auto Loan,Active,2019-12-30,1
PROD-00020,CUST-00009,PROD_PERSONAL_LOAN,Personal Loan,Closed,2023-08-24,0
PROD-00021,CUST-00010,PROD_SAVINGS,Savings Account,Active,2024-10-08,1
PROD-00022,CUST-00010,PROD_MORTGAGE,Mortgage,Active,2025-07-13,1
PROD-00023,CUST-00011,PROD_SAVINGS,Savings Account,Active,2021-10-22,1
PROD-00024,CUST-00012,PROD_SAVINGS,Savings Account,Active,2020-05-06,1
PROD-00025,CUST-00012,PROD_INVESTMENT,Investment Account,Active,2021-12-25,1
PROD-00026,CUST-00013,PROD_SAVINGS,Savings Account,Active,2021-07-21,1
PROD-00027,CUST-00013,PROD_CREDIT_CARD,Credit Card,Active,2021-12-26,1
PROD-00028,CUST-00014,PROD_SAVINGS,Savings Account,Active,2024-02-13,1
PROD-00029,CUST-00014,PROD_AUTO_LOAN,Auto Loan,Closed,2025-05-30,0
PROD-00030,CUST-00014,PROD_INVESTMENT,Investment Account,Active,2024-04-19,1
PROD-00031,CUST-00015,PROD_SAVINGS,Savings Account,Active,2018-03-28,1
PROD-00032,CUST-00016,PROD_SAVINGS,Savings Account,Active,2023-08-08,1
PROD-00033,CUST-00017,PROD_SAVINGS,Savings Account,Active,2022-02-20,1
PROD-00034,CUST-00017,PROD_PERSONAL_LOAN,Personal Loan,Churned,2025-10-04,0
PROD-00035,CUST-00017,PROD_INVESTMENT,Investment Account,Active,2024-10-13,1
PROD-00036,CUST-00018,PROD_SAVINGS,Savings Account,Active,2020-04-12,1
PROD-00037,CUST-00018,PROD_CREDIT_CARD,Credit Card,Active,2023-05-18,1
PROD-00038,CUST-00019,PROD_SAVINGS,Savings Account,Active,2022-01-31,1
PROD-00039,CUST-00020,PROD_SAVINGS,Savings Account,Active,2024-01-26,1
PROD-00040,CUST-00021,PROD_SAVINGS,Savings Account,Active,2023-01-21,1
PROD-00041,CUST-00021,PROD_RETIREMENT,Retirement Account,Active,2024-06-18,1
PROD-00042,CUST-00021,PROD_INVESTMENT,Investment Account,Active,2024-11-30,1
PROD-00043,CUST-00022,PROD_SAVINGS,Savings Account,Active,2022-01-06,1
PROD-00044,CUST-00023,PROD_SAVINGS,Savings Account,Active,2020-12-04,1
PROD-00045,CUST-00023,PROD_MORTGAGE,Mortgage,Active,2024-03-12,1
PROD-00046,CUST-00024,PROD_SAVINGS,Savings Account,Active,2021-09-08,1
PROD-00047,CUST-00025,PROD_SAVINGS,Savings Account,Active,2023-08-07,1
PROD-00048,CUST-00025,PROD_INVESTMENT,Investment Account,Active,2025-02-27,1
PROD-00049,CUST-00025,PROD_RETIREMENT,Retirement Account,Active,2025-10-08,1
PROD-00050,CUST-00026,PROD_SAVINGS,Savings Account,Active,2023-08-07,1
PROD-00051,CUST-00026,PROD_AUTO_LOAN,Auto Loan,Active,2024-09-30,1
PROD-00052,CUST-00027,PROD_SAVINGS,Savings Account,Active,2021-05-10,1
PROD-00053,CUST-00028,PROD_SAVINGS,Savings Account,Active,2018-10-03,1
PROD-00054,CUST-00029,PROD_SAVINGS,Savings Account,Active,2018-05-31,1
PROD-00055,CUST-00029,PROD_PERSONAL_LOAN,Personal Loan,Closed,2018-12-12,0
PROD-00056,CUST-00029,PROD_CREDIT_CARD,Credit Card,Active,2022-10-06,1
PROD-00057,CUST-00030,PROD_SAVINGS,Savings Account,Active,2024-02-18,1
PROD-00058,CUST-00030,PROD_RETIREMENT,Retirement Account,Active,2024-08-14,1
PROD-00059,CUST-00031,PROD_SAVINGS,Savings Account,Active,2021-11-16,1
PROD-00060,CUST-00032,PROD_SAVINGS,Savings Account,Active,2024-11-01,1
PROD-00061,CUST-00032,PROD_AUTO_LOAN,Auto Loan,Closed,2025-07-19,0
PROD-00062,CUST-00033,PROD_SAVINGS,Savings Account,Active,2019-01-09,1
PROD-00063,CUST-00033,PROD_PERSONAL_LOAN,Personal Loan,Active,2019-01-17,1
PROD-00064,CUST-00034,PROD_SAVINGS,Savings Account,Active,2023-10-09,1
PROD-00065,CUST-00034,PROD_PERSONAL_LOAN,Personal Loan,Active,2023-11-27,1
PROD-00066,CUST-00034,PROD_INVESTMENT,Investment Account,Active,2023-10-11,1
PROD-00067,CUST-00035,PROD_SAVINGS,Savings Account,Active,2018-06-05,1
PROD-00068,CUST-00035,PROD_AUTO_LOAN,Auto Loan,Active,2022-06-15,1
PROD-00069,CUST-00035,PROD_PERSONAL_LOAN,Personal Loan,Closed,2021-04-23,0
PROD-00070,CUST-00036,PROD_SAVINGS,Savings Account,Active,2022-04-04,1
PROD-00071,CUST-00036,PROD_PERSONAL_LOAN,Personal Loan,Active,2023-11-19,1
PROD-00072,CUST-00036,PROD_MORTGAGE,Mortgage,Pending,2022-06-17,0
PROD-00073,CUST-00037,PROD_SAVINGS,Savings Account,Active,2019-06-22,1
PROD-00074,CUST-00037,PROD_CREDIT_CARD,Credit Card,Active,2023-01-04,1
PROD-00075,CUST-00037,PROD_AUTO_LOAN,Auto Loan,Churned,2023-04-10,0
PROD-00076,CUST-00038,PROD_SAVINGS,Savings Account,Active,2023-01-06,1
PROD-00077,CUST-00039,PROD_SAVINGS,Savings Account,Active,2020-09-23,1
PROD-00078,CUST-00040,PROD_SAVINGS,Savings Account,Active,2024-08-18,1
PROD-00079,CUST-00040,PROD_INVESTMENT,Investment Account,Active,2025-03-18,1
PROD-00080,CUST-00040,PROD_CREDIT_CARD,Credit Card,Closed,2025-03-13,0
PROD-00081,CUST-00041,PROD_SAVINGS,Savings Account,Active,2021-11-27,1
PROD-00082,CUST-00041,PROD_AUTO_LOAN,Auto Loan,Active,2025-11-10,1
PROD-00083,CUST-00042,PROD_SAVINGS,Savings Account,Active,2019-08-28,1
PROD-00084,CUST-00042,PROD_RETIREMENT,Retirement Account,Closed,2025-01-17,0
PROD-00085,CUST-00043,PROD_SAVINGS,Savings Account,Active,2023-08-05,1
PROD-00086,CUST-00043,PROD_INVESTMENT,Investment Account,Active,2024-01-05,1
PROD-00087,CUST-00044,PROD_SAVINGS,Savings Account,Active,2019-02-05,1
PROD-00088,CUST-00044,PROD_INVESTMENT,Investment Account,Active,2020-06-15,1
PROD-00089,CUST-00044,PROD_AUTO_LOAN,Auto Loan,Closed,2020-12-08,0
PROD-00090,CUST-00045,PROD_SAVINGS,Savings Account,Active,2020-07-22,1
PROD-00091,CUST-00045,PROD_CREDIT_CARD,Credit Card,Active,2020-12-05,1
PROD-00092,CUST-00045,PROD_RETIREMENT,Retirement Account,Active,2024-01-25,1
PROD-00093,CUST-00046,PROD_SAVINGS,Savings Account,Active,2021-09-03,1
PROD-00094,CUST-00046,PROD_AUTO_LOAN,Auto Loan,Active,2025-11-03,1
PROD-00095,CUST-00047,PROD_SAVINGS,Savings Account,Active,2024-12-11,1
PROD-00096,CUST-00047,PROD_RETIREMENT,Retirement Account,Closed,2025-05-10,0
PROD-00097,CUST-00047,PROD_AUTO_LOAN,Auto Loan,Closed,2025-03-07,0
PROD-00098,CUST-00048,PROD_SAVINGS,Savings Account,Active,2021-02-13,1
PROD-00099,CUST-00048,PROD_AUTO_LOAN,Auto Loan,Closed,2025-07-30,0
PROD-00100,CUST-00049,PROD_SAVINGS,Savings Account,Active,2019-11-11,1
PROD-00101,CUST-00050,PROD_SAVINGS,Savings Account,Active,2024-01-16,1
PROD-00102,CUST-00050,PROD_MORTGAGE,Mortgage,Active,2025-03-11,1
PROD-00103,CUST-00050,PROD_RETIREMENT,Retirement Account,Active,2024-03-26,1
PROD-00104,CUST-00051,PROD_SAVINGS,Savings Account,Active,2020-05-15,1
PROD-00105,CUST-00051,PROD_MORTGAGE,Mortgage,Active,2025-09-20,1
PROD-00106,CUST-00051,PROD_RETIREMENT,Retirement Account,Active,2020-11-25,1
PROD-00107,CUST-00052,PROD_SAVINGS,Savings Account,Active,2020-10-13,1
PROD-00108,CUST-00052,PROD_RETIREMENT,Retirement Account,Active,2024-03-07,1
PROD-00109,CUST-00053,PROD_SAVINGS,Savings Account,Active,2019-06-22,1
PROD-00110,CUST-00053,PROD_INVESTMENT,Investment Account,Active,2024-10-22,1
PROD-00111,CUST-00053,PROD_MORTGAGE,Mortgage,Active,2020-05-08,1
PROD-00112,CUST-00054,PROD_SAVINGS,Savings Account,Active,2024-11-06,1
PROD-00113,CUST-00055,PROD_SAVINGS,Savings Account,Active,2022-04-16,1
PROD-00114,CUST-00055,PROD_MORTGAGE,Mortgage,Active,2024-07-20,1
PROD-00115,CUST-00056,PROD_SAVINGS,Savings Account,Active,2020-11-01,1
PROD-00116,CUST-00056,PROD_PERSONAL_LOAN,Personal Loan,Active,2023-05-08,1
PROD-00117,CUST-00057,PROD_SAVINGS,Savings Account,Active,2023-01-24,1
PROD-00118,CUST-00058,PROD_SAVINGS,Savings Account,Active,2020-06-15,1
PROD-00119,CUST-00059,PROD_SAVINGS,Savings Account,Active,2024-10-29,1
PROD-00120,CUST-00059,PROD_RETIREMENT,Retirement Account,Active,2025-04-22,1
PROD-00121,CUST-00060,PROD_SAVINGS,Savings Account,Active,2023-10-08,1
PROD-00122,CUST-00060,PROD_PERSONAL_LOAN,Personal Loan,Active,2023-12-13,1
PROD-00123,CUST-00060,PROD_CREDIT_CARD,Credit Card,Closed,2024-11-05,0
PROD-00124,CUST-00060,PROD_AUTO_LOAN,Auto Loan,Active,2025-05-15,1
PROD-00125,CUST-00061,PROD_SAVINGS,Savings Account,Active,2024-03-15,1
PROD-00126,CUST-00061,PROD_RETIREMENT,Retirement Account,Active,2024-09-03,1
PROD-00127,CUST-00061,PROD_INVESTMENT,Investment Account,Closed,2024-11-15,0
PROD-00128,CUST-00062,PROD_SAVINGS,Savings Account,Active,2020-11-26,1
PROD-00129,CUST-00062,PROD_INVESTMENT,Investment Account,Active,2025-07-21,1
PROD-00130,CUST-00062,PROD_CREDIT_CARD,Credit Card,Churned,2024-08-31,0
PROD-00131,CUST-00063,PROD_SAVINGS,Savings Account,Active,2022-12-03,1
PROD-00132,CUST-00064,PROD_SAVINGS,Savings Account,Active,2022-04-09,1
PROD-00133,CUST-00064,PROD_PERSONAL_LOAN,Personal Loan,Active,2022-09-04,1
PROD-00134,CUST-00065,PROD_SAVINGS,Savings Account,Active,2020-12-06,1
PROD-00135,CUST-00065,PROD_CREDIT_CARD,Credit Card,Active,2022-08-01,1
PROD-00136,CUST-00066,PROD_SAVINGS,Savings Account,Active,2022-02-24,1
PROD-00137,CUST-00067,PROD_SAVINGS,Savings Account,Active,2018-03-24,1
PROD-00138,CUST-00067,PROD_MORTGAGE,Mortgage,Active,2025-06-01,1
PROD-00139,CUST-00067,PROD_CREDIT_CARD,Credit Card,Active,2025-09-15,1
PROD-00140,CUST-00067,PROD_INVESTMENT,Investment Account,Active,2021-01-23,1
PROD-00141,CUST-00068,PROD_SAVINGS,Savings Account,Active,2018-08-18,1
PROD-00142,CUST-00069,PROD_SAVINGS,Savings Account,Active,2021-01-08,1
PROD-00143,CUST-00069,PROD_AUTO_LOAN,Auto Loan,Active,2023-07-25,1
PROD-00144,CUST-00070,PROD_SAVINGS,Savings Account,Active,2021-11-02,1
PROD-00145,CUST-00070,PROD_AUTO_LOAN,Auto Loan,Active,2022-12-04,1
PROD-00146,CUST-00070,PROD_INVESTMENT,Investment Account,Active,2022-07-15,1
PROD-00147,CUST-00071,PROD_SAVINGS,Savings Account,Active,2019-08-15,1
PROD-00148,CUST-00071,PROD_MORTGAGE,Mortgage,Closed,2022-12-29,0
PROD-00149,CUST-00072,PROD_SAVINGS,Savings Account,Active,2021-01-02,1
PROD-00150,CUST-00073,PROD_SAVINGS,Savings Account,Active,2019-09-13,1
PROD-00151,CUST-00073,PROD_PERSONAL_LOAN,Personal Loan,Active,2023-06-19,1
PROD-00152,CUST-00074,PROD_SAVINGS,Savings Account,Active,2024-12-16,1
PROD-00153,CUST-00074,PROD_RETIREMENT,Retirement Account,Active,2025-03-07,1
PROD-00154,CUST-00074,PROD_PERSONAL_LOAN,Personal Loan,Active,2025-06-25,1
PROD-00155,CUST-00075,PROD_SAVINGS,Savings Account,Active,2018-06-16,1
PROD-00156,CUST-00075,PROD_AUTO_LOAN,Auto Loan,Active,2023-07-09,1
PROD-00157,CUST-00076,PROD_SAVINGS,Savings Account,Active,2023-02-02,1
PROD-00158,CUST-00076,PROD_AUTO_LOAN,Auto Loan,Active,2023-05-06,1
PROD-00159,CUST-00077,PROD_SAVINGS,Savings Account,Active,2023-10-30,1
PROD-00160,CUST-00077,PROD_PERSONAL_LOAN,Personal Loan,Active,2025-06-19,1
PROD-00161,CUST-00077,PROD_RETIREMENT,Retirement Account,Active,2024-09-21,1
PROD-00162,CUST-00078,PROD_SAVINGS,Savings Account,Active,2023-11-28,1
PROD-00163,CUST-00079,PROD_SAVINGS,Savings Account,Active,2019-03-07,1
PROD-00164,CUST-00079,PROD_MORTGAGE,Mortgage,Active,2022-12-29,1
PROD-00165,CUST-00079,PROD_RETIREMENT,Retirement Account,Closed,2021-06-04,0
PROD-00166,CUST-00079,PROD_PERSONAL_LOAN,Personal Loan,Active,2020-01-06,1
PROD-00167,CUST-00080,PROD_SAVINGS,Savings Account,Active,2023-09-07,1
PROD-00168,CUST-00081,PROD_SAVINGS,Savings Account,Active,2020-06-15,1
PROD-00169,CUST-00081,PROD_PERSONAL_LOAN,Personal Loan,Active,2025-10-20,1
PROD-00170,CUST-00081,PROD_RETIREMENT,Retirement Account,Active,2024-02-04,1
PROD-00171,CUST-00081,PROD_CREDIT_CARD,Credit Card,Active,2021-09-20,1
PROD-00172,CUST-00082,PROD_SAVINGS,Savings Account,Active,2022-04-21,1
PROD-00173,CUST-00082,PROD_INVESTMENT,Investment Account,Active,2025-07-14,1
PROD-00174,CUST-00082,PROD_RETIREMENT,Retirement Account,Pending,2024-01-01,0
PROD-00175,CUST-00083,PROD_SAVINGS,Savings Account,Active,2021-09-26,1
PROD-00176,CUST-00083,PROD_MORTGAGE,Mortgage,Active,2022-09-19,1
PROD-00177,CUST-00083,PROD_PERSONAL_LOAN,Personal Loan,Active,2023-10-03,1
PROD-00178,CUST-00084,PROD_SAVINGS,Savings Account,Active,2020-01-04,1
PROD-00179,CUST-00085,PROD_SAVINGS,Savings Account,Active,2024-07-08,1
PROD-00180,CUST-00085,PROD_AUTO_LOAN,Auto Loan,Active,2025-02-12,1
PROD-00181,CUST-00086,PROD_SAVINGS,Savings Account,Active,2019-11-21,1
PROD-00182,CUST-00086,PROD_INVESTMENT,Investment Account,Active,2020-07-09,1
PROD-00183,CUST-00086,PROD_PERSONAL_LOAN,Personal Loan,Active,2023-06-11,1
PROD-00184,CUST-00087,PROD_SAVINGS,Savings Account,Active,2019-11-24,1
PROD-00185,CUST-00088,PROD_SAVINGS,Savings Account,Active,2020-06-20,1
PROD-00186,CUST-00088,PROD_RETIREMENT,Retirement Account,Pending,2025-11-07,0
PROD-00187,CUST-00089,PROD_SAVINGS,Savings Account,Active,2022-08-01,1
PROD-00188,CUST-00090,PROD_SAVINGS,Savings Account,Active,2020-02-23,1
PROD-00189,CUST-00091,PROD_SAVINGS,Savings Account,Active,2022-10-07,1
PROD-00190,CUST-00091,PROD_CREDIT_CARD,Credit Card,Active,2024-11-04,1
PROD-00191,CUST-00091,PROD_INVESTMENT,Investment Account,Active,2023-12-15,1
PROD-00192,CUST-00092,PROD_SAVINGS,Savings Account,Active,2018-01-22,1
PROD-00193,CUST-00093,PROD_SAVINGS,Savings Account,Active,2024-10-09,1
PROD-00194,CUST-00093,PROD_MORTGAGE,Mortgage,Active,2025-08-15,1
PROD-00195,CUST-00094,PROD_SAVINGS,Savings Account,Active,2021-01-18,1
PROD-00196,CUST-00095,PROD_SAVINGS,Savings Account,Active,2024-04-27,1
PROD-00197,CUST-00096,PROD_SAVINGS,Savings Account,Active,2022-10-24,1
PROD-00198,CUST-00096,PROD_MORTGAGE,Mortgage,Active,2024-05-01,1
PROD-00199,CUST-00097,PROD_SAVINGS,Savings Account,Active,2021-12-15,1
PROD-00200,CUST-00097,PROD_MORTGAGE,Mortgage,Closed,2021-12-30,0
PROD-00201,CUST-00097,PROD_RETIREMENT,Retirement Account,Active,2025-02-15,1
PROD-00202,CUST-00098,PROD_SAVINGS,Savings Account,Active,2019-08-21,1
PROD-00203,CUST-00098,PROD_CREDIT_CARD,Credit Card,Active,2024-03-19,1
PROD-00204,CUST-00099,PROD_SAVINGS,Savings Account,Active,2019-03-11,1
PROD-00205,CUST-00099,PROD_AUTO_LOAN,Auto Loan,Pending,2024-01-20,0
PROD-00206,CUST-00100,PROD_SAVINGS,Savings Account,Active,2024-11-18,1
PROD-00207,CUST-00101,PROD_SAVINGS,Savings Account,Active,2018-12-15,1
PROD-00208,CUST-00101,PROD_CREDIT_CARD,Credit Card,Active,2021-09-22,1
PROD-00209,CUST-00102,PROD_SAVINGS,Savings Account,Active,2024-09-16,1
PROD-00210,CUST-00103,PROD_SAVINGS,Savings Account,Active,2022-12-01,1
PROD-00211,CUST-00104,PROD_SAVINGS,Savings Account,Active,2022-01-19,1
PROD-00212,CUST-00104,PROD_RETIREMENT,Retirement Account,Active,2022-10-29,1
PROD-00213,CUST-00105,PROD_SAVINGS,Savings Account,Active,2021-07-30,1
PROD-00214,CUST-00105,PROD_CREDIT_CARD,Credit Card,Active,2023-07-16,1
PROD-00215,CUST-00106,PROD_SAVINGS,Savings Account,Active,2023-01-21,1
PROD-00216,CUST-00107,PROD_SAVINGS,Savings Account,Active,2022-02-24,1
PROD-00217,CUST-00107,PROD_PERSONAL_LOAN,Personal Loan,Active,2022-05-05,1
PROD-00218,CUST-00108,PROD_SAVINGS,Savings Account,Active,2020-02-14,1
PROD-00219,CUST-00108,PROD_RETIREMENT,Retirement Account,Active,2022-11-29,1
PROD-00220,CUST-00109,PROD_SAVINGS,Savings Account,Active,2023-10-17,1
PROD-00221,CUST-00109,PROD_PERSONAL_LOAN,Personal Loan,Churned,2025-02-17,0
PROD-00222,CUST-00110,PROD_SAVINGS,Savings Account,Active,2023-09-05,1
PROD-00223,CUST-00110,PROD_RETIREMENT,Retirement Account,Active,2025-12-21,1
PROD-00224,CUST-00111,PROD_SAVINGS,Savings Account,Active,2018-02-28,1
PROD-00225,CUST-00112,PROD_SAVINGS,Savings Account,Active,2018-03-18,1
PROD-00226,CUST-00113,PROD_SAVINGS,Savings Account,Active,2024-02-29,1
PROD-00227,CUST-00114,PROD_SAVINGS,Savings Account,Active,2021-08-11,1
PROD-00228,CUST-00114,PROD_PERSONAL_LOAN,Personal Loan,Active,2023-02-06,1
PROD-00229,CUST-00114,PROD_INVESTMENT,Investment Account,Closed,2024-05-14,0
PROD-00230,CUST-00114,PROD_AUTO_LOAN,Auto Loan,Active,2023-07-31,1
PROD-00231,CUST-00115,PROD_SAVINGS,Savings Account,Active,2023-09-13,1
PROD-00232,CUST-00116,PROD_SAVINGS,Savings Account,Active,2019-09-27,1
PROD-00233,CUST-00116,PROD_CREDIT_CARD,Credit Card,Active,2025-11-08,1
PROD-00234,CUST-00117,PROD_SAVINGS,Savings Account,Active,2018-03-26,1
PROD-00235,CUST-00117,PROD_PERSONAL_LOAN,Personal Loan,Active,2025-04-30,1
PROD-00236,CUST-00117,PROD_AUTO_LOAN,Auto Loan,Active,2018-11-07,1
PROD-00237,CUST-00118,PROD_SAVINGS,Savings Account,Active,2023-07-18,1
PROD-00238,CUST-00119,PROD_SAVINGS,Savings Account,Active,2024-02-20,1
PROD-00239,CUST-00120,PROD_SAVINGS,Savings Account,Active,2021-05-25,1
PROD-00240,CUST-00120,PROD_AUTO_LOAN,Auto Loan,Closed,2024-06-27,0
PROD-00241,CUST-00121,PROD_SAVINGS,Savings Account,Active,2024-07-27,1
PROD-00242,CUST-00121,PROD_INVESTMENT,Investment Account,Churned,2025-02-24,0
PROD-00243,CUST-00122,PROD_SAVINGS,Savings Account,Active,2018-12-19,1
PROD-00244,CUST-00123,PROD_SAVINGS,Savings Account,Active,2023-04-17,1
PROD-00245,CUST-00124,PROD_SAVINGS,Savings Account,Active,2018-10-21,1
PROD-00246,CUST-00124,PROD_AUTO_LOAN,Auto Loan,Closed,2019-07-03,0
PROD-00247,CUST-00125,PROD_SAVINGS,Savings Account,Active,2021-09-27,1
PROD-00248,CUST-00126,PROD_SAVINGS,Savings Account,Active,2021-08-13,1
PROD-00249,CUST-00126,PROD_INVESTMENT,Investment Account,Active,2025-03-07,1
PROD-00250,CUST-00126,PROD_RETIREMENT,Retirement Account,Active,2021-09-30,1
PROD-00251,CUST-00127,PROD_SAVINGS,Savings Account,Active,2020-02-09,1
PROD-00252,CUST-00127,PROD_AUTO_LOAN,Auto Loan,Active,2025-08-16,1
PROD-00253,CUST-00127,PROD_RETIREMENT,Retirement Account,Active,2022-01-08,1
PROD-00254,CUST-00128,PROD_SAVINGS,Savings Account,Active,2018-01-19,1
PROD-00255,CUST-00129,PROD_SAVINGS,Savings Account,Active,2022-08-07,1
