product_type,product_status,income_band,total_holdings,unique_customers,pct_of_all_products
Auto Loan,Active,High (>$10k),182,182,0.58
Auto Loan,Active,Low (<$2.5k),199,199,0.64
Auto Loan,Active,Middle ($2.5k-$6k),920,920,2.94
Auto Loan,Active,Upper-Middle ($6k-$10k),709,709,2.27
Auto Loan,Churned,High (>$10k),17,17,0.05
Auto Loan,Churned,Low (<$2.5k),14,14,0.04
Auto Loan,Churned,Middle ($2.5k-$6k),64,64,0.2
Auto Loan,Churned,Upper-Middle ($6k-$10k),57,57,0.18
Auto Loan,Closed,High (>$10k),36,36,0.12
Auto Loan,Closed,Low (<$2.5k),41,41,0.13
Auto Loan,Closed,Middle ($2.5k-$6k),182,182,0.58
Auto Loan,Closed,Upper-Middle ($6k-$10k),153,153,0.49
Auto Loan,Pending,High (>$10k),15,15,0.05
Auto Loan,Pending,Low (<$2.5k),11,11,0.04
Auto Loan,Pending,Middle ($2.5k-$6k),64,64,0.2
Auto Loan,Pending,Upper-Middle ($6k-$10k),56,56,0.18
Credit Card,Active,High (>$10k),193,193,0.62
Credit Card,Active,Low (<$2.5k),199,199,0.64
Credit Card,Active,Middle ($2.5k-$6k),951,951,3.04
Credit Card,Active,Upper-Middle ($6k-$10k),691,691,2.21
Credit Card,Churned,High (>$10k),5,5,0.02
Credit Card,Churned,Low (<$2.5k),11,11,0.04
Credit Card,Churned,Middle ($2.5k-$6k),53,53,0.17
Credit Card,Churned,Upper-Middle ($6k-$10k),59,59,0.19
Credit Card,Closed,High (>$10k),43,43,0.14
Credit Card,Closed,Low (<$2.5k),33,33,0.11
Credit Card,Closed,Middle ($2.5k-$6k),187,187,0.6
Credit Card,Closed,Upper-Middle ($6k-$10k),131,131,0.42
Credit Card,Pending,High (>$10k),12,12,0.04
Credit Card,Pending,Low (<$2.5k),13,13,0.04
Credit Card,Pending,Middle ($2.5k-$6k),69,69,0.22
Credit Card,Pending,Upper-Middle ($6k-$10k),36,36,0.12
Investment Account,Active,High (>$10k),191,191,0.61
Investment Account,Active,Low (<$2.5k),169,169,0.54
Investment Account,Active,Middle ($2.5k-$6k),934,934,2.99
Investment Account,Active,Upper-Middle ($6k-$10k),699,699,2.24
Investment Account,Churned,High (>$10k),16,16,0.05
Investment Account,Churned,Low (<$2.5k),19,19,0.06
Investment Account,Churned,Middle ($2.5k-$6k),65,65,0.21
Investment Account,Churned,Upper-Middle ($6k-$10k),52,52,0.17
Investment Account,Closed,High (>$10k),35,35,0.11
Investment Account,Closed,Low (<$2.5k),36,36,0.12
Investment Account,Closed,Middle ($2.5k-$6k),222,222,0.71
Investment Account,Closed,Upper-Middle ($6k-$10k),143,143,0.46
Investment Account,Pending,High (>$10k),11,11,0.04
