customer_id,recency_days,frequency,monetary_value,r_score,f_score,m_score,rfm_score_code,rfm_composite_score,rfm_segment
CUST-00821,2545,2,1451.28,1,1,3,113,1.67,Lost
CUST-02660,2497,2,1328.91,1,1,2,112,1.33,Lost
CUST-05363,2439,2,111.21,1,1,1,111,1.0,Lost
CUST-13803,2369,2,668.36,1,1,1,111,1.0,Lost
CUST-13390,2359,3,2415.5,1,2,4,124,2.33,Lost
CUST-11021,2357,2,418.26,1,1,1,111,1.0,Lost
CUST-14084,2324,2,289.54,1,1,1,111,1.0,Lost
CUST-08968,2307,2,329.41,1,1,1,111,1.0,Lost
CUST-06608,2284,2,1561.04,1,1,3,113,1.67,Lost
CUST-00722,2284,2,1652.3,1,1,3,113,1.67,Lost
CUST-01634,2272,4,1866.26,1,2,3,123,2.0,Lost
CUST-07643,2269,4,977.74,1,2,2,122,1.67,Lost
CUST-10025,2262,2,1493.32,1,1,3,113,1.67,Lost
CUST-09247,2247,4,2293.95,1,2,4,124,2.33,Lost
CUST-10924,2246,3,513.44,1,1,1,111,1.0,Lost
CUST-07016,2238,2,1771.83,1,1,3,113,1.67,Lost
CUST-06889,2232,2,1659.96,1,1,3,113,1.67,Lost
CUST-10878,2231,2,349.1,1,1,1,111,1.0,Lost
CUST-07475,2223,3,708.94,1,1,1,111,1.0,Lost
CUST-00739,2200,3,1608.6,1,2,3,123,2.0,Lost
CUST-09498,2200,5,4028.89,1,4,5,145,3.33,Loyal Customers
CUST-08068,2192,2,904.53,1,1,2,112,1.33,Lost
CUST-05005,2191,3,1273.05,1,2,2,122,1.67,Lost
CUST-13257,2178,2,1165.49,1,1,2,112,1.33,Lost
CUST-13789,2170,3,162.56,1,1,1,111,1.0,Lost
CUST-14721,2160,3,1155.82,1,2,2,122,1.67,Lost
CUST-12687,2149,2,483.92,1,1,1,111,1.0,Lost
CUST-13478,2143,2,1334.33,1,1,2,112,1.33,Lost
CUST-12109,2138,2,277.41,1,1,1,111,1.0,Lost
CUST-14182,2134,2,755.1,1,1,2,112,1.33,Lost
CUST-02399,2128,2,786.82,1,1,2,112,1.33,Lost
CUST-03541,2104,3,1589.55,1,2,3,123,2.0,Lost
CUST-02796,2100,2,240.75,1,1,1,111,1.0,Lost
CUST-09058,2086,4,1736.0,1,2,3,123,2.0,Lost
CUST-14941,2083,3,639.12,1,1,1,111,1.0,Lost
CUST-10851,2054,2,971.87,1,1,2,112,1.33,Lost
CUST-05172,2054,3,2765.77,1,2,4,124,2.33,Lost
CUST-02171,2041,2,347.73,1,1,1,111,1.0,Lost
CUST-11243,2037,2,676.86,1,1,1,111,1.0,Lost
CUST-06393,2018,3,325.42,1,1,1,111,1.0,Lost
CUST-14507,2015,3,570.93,1,1,1,111,1.0,Lost
CUST-03361,2008,2,462.07,1,1,1,111,1.0,Lost
CUST-05230,2008,5,1350.07,1,3,2,132,2.0,Needs Attention
CUST-01727,2006,3,3480.17,1,2,5,125,2.67,Lost
CUST-06759,2004,2,298.22,1,1,1,111,1.0,Lost
CUST-06961,2000,3,1514.26,1,2,3,123,2.0,Lost
CUST-04455,1990,3,1758.89,1,2,3,123,2.0,Lost
CUST-09879,1977,3,1546.93,1,2,3,123,2.0,Lost
CUST-10658,1971,3,1051.95,1,1,2,112,1.33,Lost
CUST-04322,1970,2,1185.0,1,1,2,112,1.33,Lost
CUST-01665,1967,2,104.2,1,1,1,111,1.0,Lost
CUST-05332,1963,2,1322.73,1,1,2,112,1.33,Lost
CUST-03706,1959,3,506.23,1,1,1,111,1.0,Lost
CUST-13818,1947,3,2012.2,1,2,3,123,2.0,Lost
CUST-04482,1937,2,339.76,1,1,1,111,1.0,Lost
CUST-05866,1936,5,2440.16,1,3,4,134,2.67,At Risk
CUST-02729,1935,2,564.39,1,1,1,111,1.0,Lost
CUST-13812,1932,2,1606.84,1,1,3,113,1.67,Lost
CUST-05914,1931,2,569.85,1,1,1,111,1.0,Lost
CUST-09900,1929,3,618.49,1,1,1,111,1.0,Lost
CUST-00124,1923,2,732.76,1,1,1,111,1.0,Lost
CUST-13537,1920,4,2177.28,1,2,4,124,2.33,Lost
CUST-07777,1913,3,601.76,1,1,1,111,1.0,Lost
CUST-12239,1885,2,1078.33,1,1,2,112,1.33,Lost
CUST-13180,1882,3,1665.12,1,2,3,123,2.0,Lost
CUST-05464,1881,3,2436.18,1,2,4,124,2.33,Lost
CUST-07880,1876,3,275.72,1,1,1,111,1.0,Lost
CUST-12861,1869,2,2219.05,1,1,4,114,2.0,Lost
CUST-12425,1867,3,884.47,1,1,2,112,1.33,Lost
CUST-10269,1865,2,689.71,1,1,1,111,1.0,Lost
CUST-13646,1862,5,3116.45,1,3,5,135,3.0,At Risk
CUST-12866,1859,4,2665.99,1,3,4,134,2.67,At Risk
CUST-03285,1857,2,425.8,1,1,1,111,1.0,Lost
CUST-07779,1848,2,594.92,1,1,1,111,1.0,Lost
CUST-13371,1842,2,1496.07,1,1,3,113,1.67,Lost
CUST-08544,1837,4,639.74,1,2,1,121,1.33,Lost
CUST-04600,1834,2,465.59,1,1,1,111,1.0,Lost
CUST-09378,1833,3,598.8,1,1,1,111,1.0,Lost
CUST-12330,1830,2,435.53,1,1,1,111,1.0,Lost
CUST-07162,1827,3,1402.63,1,2,3,123,2.0,Lost
CUST-05986,1825,3,429.68,1,1,1,111,1.0,Lost
CUST-06732,1825,5,928.21,1,3,2,132,2.0,Needs Attention
CUST-02298,1819,4,2654.91,1,3,4,134,2.67,At Risk
CUST-14097,1811,2,421.88,1,1,1,111,1.0,Lost
CUST-04666,1808,4,2088.77,1,2,4,124,2.33,Lost
CUST-05160,1806,4,2169.29,1,2,4,124,2.33,Lost
CUST-08113,1806,4,2792.48,1,3,4,134,2.67,At Risk
CUST-01881,1803,2,1478.38,1,1,3,113,1.67,Lost
CUST-04243,1803,2,2894.2,1,1,4,114,2.0,Lost
CUST-07450,1798,4,2303.45,1,2,4,124,2.33,Lost
CUST-05978,1797,2,463.56,1,1,1,111,1.0,Lost
CUST-08681,1787,2,836.22,1,1,2,112,1.33,Lost
CUST-02174,1787,3,1899.61,1,2,3,123,2.0,Lost
CUST-11232,1785,2,1928.35,1,1,3,113,1.67,Lost
CUST-05755,1783,2,604.44,1,1,1,111,1.0,Lost
CUST-06200,1783,4,840.5,1,2,2,122,1.67,Lost
CUST-06014,1772,2,409.11,1,1,1,111,1.0,Lost
CUST-04127,1772,2,1868.09,1,1,3,113,1.67,Lost
CUST-11747,1771,3,867.83,1,1,2,112,1.33,Lost
CUST-06122,1762,2,84.19,1,1,1,111,1.0,Lost
CUST-03501,1756,2,359.52,1,1,1,111,1.0,Lost
CUST-11688,1755,2,1954.73,1,1,3,113,1.67,Lost
CUST-10252,1752,2,1019.06,1,1,2,112,1.33,Lost
CUST-04990,1747,5,641.71,1,3,1,131,1.67,Needs Attention
CUST-05747,1743,2,652.5,1,1,1,111,1.0,Lost
CUST-06523,1739,2,1108.28,1,1,2,112,1.33,Lost
CUST-06155,1728,2,1643.37,1,1,3,113,1.67,Lost
CUST-05456,1728,3,4080.22,1,2,5,125,2.67,Lost
CUST-11915,1724,2,164.15,1,1,1,111,1.0,Lost
CUST-05031,1724,4,2667.14,1,3,4,134,2.67,At Risk
CUST-04366,1717,7,1482.38,1,4,3,143,2.67,Loyal Customers
CUST-10468,1715,3,1535.51,1,2,3,123,2.0,Lost
CUST-09501,1714,2,457.17,1,1,1,111,1.0,Lost
CUST-03723,1712,3,416.5,1,1,1,111,1.0,Lost
CUST-05876,1711,3,2003.92,1,2,3,123,2.0,Lost
CUST-09913,1709,3,311.12,1,1,1,111,1.0,Lost
CUST-02932,1699,2,359.97,1,1,1,111,1.0,Lost
CUST-07172,1699,7,2584.82,1,5,4,154,3.33,Loyal Customers
CUST-12383,1697,2,709.09,1,1,1,111,1.0,Lost
CUST-13466,1697,3,381.92,1,1,1,111,1.0,Lost
CUST-06256,1696,3,287.53,1,1,1,111,1.0,Lost
CUST-04828,1694,4,500.76,1,2,1,121,1.33,Lost
CUST-00927,1693,2,381.71,1,1,1,111,1.0,Lost
CUST-08816,1688,4,845.74,1,2,2,122,1.67,Lost
CUST-06727,1684,3,576.42,1,1,1,111,1.0,Lost
CUST-01279,1682,3,323.25,1,1,1,111,1.0,Lost
CUST-01164,1680,2,470.62,1,1,1,111,1.0,Lost
CUST-13011,1680,3,1593.57,1,2,3,123,2.0,Lost
CUST-14561,1679,2,874.71,1,1,2,112,1.33,Lost
CUST-14164,1678,2,427.26,1,1,1,111,1.0,Lost
CUST-09495,1677,6,2150.9,1,4,4,144,3.0,Loyal Customers
CUST-01190,1676,2,1962.64,1,1,3,113,1.67,Lost
CUST-10761,1676,3,826.64,1,1,2,112,1.33,Lost
CUST-07998,1674,2,1623.46,1,1,3,113,1.67,Lost
CUST-09311,1670,2,1335.35,1,1,2,112,1.33,Lost
CUST-12715,1670,2,1471.29,1,1,3,113,1.67,Lost
CUST-01899,1670,2,2585.49,1,1,4,114,2.0,Lost
CUST-05107,1670,3,560.51,1,1,1,111,1.0,Lost
CUST-08229,1670,3,789.5,1,1,2,112,1.33,Lost
CUST-14111,1668,2,95.34,1,1,1,111,1.0,Lost
CUST-02047,1667,3,1142.9,1,2,2,122,1.67,Lost
CUST-09478,1664,2,2413.76,1,1,4,114,2.0,Lost
CUST-11049,1662,4,600.99,1,2,1,121,1.33,Lost
CUST-05024,1656,2,336.95,1,1,1,111,1.0,Lost
CUST-02711,1654,3,1903.09,1,2,3,123,2.0,Lost
CUST-09367,1650,2,266.07,1,1,1,111,1.0,Lost
CUST-03106,1648,6,3918.13,1,4,5,145,3.33,Loyal Customers
CUST-08473,1641,2,292.27,1,1,1,111,1.0,Lost
CUST-06958,1641,4,2302.97,1,2,4,124,2.33,Lost
CUST-08517,1639,2,1199.45,1,1,2,112,1.33,Lost
CUST-11908,1633,2,108.28,1,1,1,111,1.0,Lost
CUST-05761,1626,2,950.23,1,1,2,112,1.33,Lost
CUST-04375,1621,7,3211.49,1,5,5,155,3.67,Loyal Customers
CUST-00084,1612,2,699.19,1,1,1,111,1.0,Lost
CUST-06515,1611,2,268.44,1,1,1,111,1.0,Lost
CUST-00728,1610,3,735.04,1,1,1,111,1.0,Lost
CUST-01658,1608,5,3419.91,1,3,5,135,3.0,At Risk
