credit_id,customer_id,credit_score,payment_behavior,missed_payments,credit_utilization,credit_risk_category
CRED-00001,CUST-00001,699,On-Time,0,0.38,Medium Risk
CRED-00002,CUST-00002,756,On-Time,0,0.11,Low Risk
CRED-00003,CUST-00003,754,On-Time,0,0.13,Low Risk
CRED-00004,CUST-00004,795,On-Time,0,0.15,Low Risk
CRED-00005,CUST-00005,569,Frequently Late,7,0.84,Very High Risk
CRED-00006,CUST-00006,781,On-Time,0,0.24,Low Risk
CRED-00007,CUST-00007,623,Frequently Late,4,0.65,High Risk
CRED-00008,CUST-00008,761,On-Time,0,0.22,Low Risk
CRED-00009,CUST-00009,697,On-Time,0,0.22,Medium Risk
CRED-00010,CUST-00010,667,Frequently Late,4,0.57,High Risk
CRED-00011,CUST-00011,618,Occasional Late,2,0.84,High Risk
CRED-00012,CUST-00012,600,Occasional Late,2,0.63,High Risk
CRED-00013,CUST-00013,610,Frequently Late,4,0.69,High Risk
CRED-00014,CUST-00014,556,Default Risk,8,0.84,Very High Risk
CRED-00015,CUST-00015,788,On-Time,0,0.21,Low Risk
CRED-00016,CUST-00016,562,Default Risk,8,0.96,Very High Risk
CRED-00017,CUST-00017,671,On-Time,0,0.35,Medium Risk
CRED-00018,CUST-00018,693,On-Time,1,0.25,Medium Risk
CRED-00019,CUST-00019,673,On-Time,1,0.44,Medium Risk
CRED-00020,CUST-00020,619,Frequently Late,1,0.73,High Risk
CRED-00021,CUST-00021,719,Occasional Late,1,0.38,Medium Risk
CRED-00022,CUST-00022,708,On-Time,2,0.43,Medium Risk
CRED-00023,CUST-00023,714,On-Time,0,0.23,Medium Risk
CRED-00024,CUST-00024,653,Occasional Late,2,0.69,High Risk
CRED-00025,CUST-00025,516,Default Risk,6,0.85,Very High Risk
CRED-00026,CUST-00026,647,Frequently Late,3,0.55,High Risk
CRED-00027,CUST-00027,738,On-Time,1,0.47,Medium Risk
CRED-00028,CUST-00028,620,Frequently Late,4,0.54,High Risk
CRED-00029,CUST-00029,652,Occasional Late,2,0.56,High Risk
CRED-00030,CUST-00030,447,Default Risk,4,0.83,Very High Risk
CRED-00031,CUST-00031,705,On-Time,0,0.37,Medium Risk
CRED-00032,CUST-00032,703,On-Time,0,0.39,Medium Risk
CRED-00033,CUST-00033,717,On-Time,0,0.28,Medium Risk
CRED-00034,CUST-00034,714,Occasional Late,0,0.41,Medium Risk
CRED-00035,CUST-00035,776,On-Time,0,0.25,Low Risk
CRED-00036,CUST-00036,696,On-Time,2,0.35,Medium Risk
CRED-00037,CUST-00037,783,On-Time,0,0.24,Low Risk
CRED-00038,CUST-00038,533,Default Risk,7,0.95,Very High Risk
CRED-00039,CUST-00039,788,On-Time,0,0.17,Low Risk
CRED-00040,CUST-00040,724,On-Time,0,0.22,Medium Risk
CRED-00041,CUST-00041,557,Default Risk,7,0.98,Very High Risk
CRED-00042,CUST-00042,744,Occasional Late,0,0.37,Medium Risk
CRED-00043,CUST-00043,762,On-Time,0,0.09,Low Risk
CRED-00044,CUST-00044,705,On-Time,0,0.37,Medium Risk
CRED-00045,CUST-00045,718,On-Time,0,0.33,Medium Risk
CRED-00046,CUST-00046,634,Occasional Late,4,0.56,High Risk
CRED-00047,CUST-00047,761,On-Time,0,0.07,Low Risk
CRED-00048,CUST-00048,747,On-Time,0,0.28,Medium Risk
CRED-00049,CUST-00049,639,Occasional Late,2,0.47,High Risk
CRED-00050,CUST-00050,661,Occasional Late,3,0.75,High Risk
CRED-00051,CUST-00051,671,Occasional Late,0,0.46,Medium Risk
CRED-00052,CUST-00052,735,On-Time,2,0.33,Medium Risk
CRED-00053,CUST-00053,653,Occasional Late,4,0.63,High Risk
CRED-00054,CUST-00054,736,On-Time,1,0.28,Medium Risk
CRED-00055,CUST-00055,702,On-Time,0,0.3,Medium Risk
CRED-00056,CUST-00056,746,On-Time,1,0.32,Medium Risk
CRED-00057,CUST-00057,455,Default Risk,11,0.76,Very High Risk
CRED-00058,CUST-00058,741,On-Time,2,0.22,Medium Risk
CRED-00059,CUST-00059,747,Occasional Late,0,0.25,Medium Risk
CRED-00060,CUST-00060,696,Occasional Late,0,0.28,Medium Risk
CRED-00061,CUST-00061,606,Frequently Late,3,0.67,High Risk
CRED-00062,CUST-00062,684,Occasional Late,0,0.34,Medium Risk
CRED-00063,CUST-00063,661,Occasional Late,2,0.54,High Risk
CRED-00064,CUST-00064,744,On-Time,2,0.35,Medium Risk
CRED-00065,CUST-00065,782,On-Time,0,0.14,Low Risk
CRED-00066,CUST-00066,586,Frequently Late,1,0.68,High Risk
CRED-00067,CUST-00067,666,Occasional Late,2,0.81,High Risk
CRED-00068,CUST-00068,762,On-Time,0,0.1,Low Risk
CRED-00069,CUST-00069,790,On-Time,0,0.07,Low Risk
CRED-00070,CUST-00070,440,Default Risk,6,0.94,Very High Risk
CRED-00071,CUST-00071,632,Occasional Late,4,0.65,High Risk
CRED-00072,CUST-00072,712,On-Time,0,0.26,Medium Risk
CRED-00073,CUST-00073,674,On-Time,0,0.28,Medium Risk
CRED-00074,CUST-00074,693,On-Time,0,0.23,Medium Risk
CRED-00075,CUST-00075,631,Occasional Late,4,0.73,High Risk
CRED-00076,CUST-00076,608,Frequently Late,3,0.6,High Risk
CRED-00077,CUST-00077,706,On-Time,1,0.38,Medium Risk
CRED-00078,CUST-00078,588,Frequently Late,3,0.47,High Risk
CRED-00079,CUST-00079,724,On-Time,0,0.49,Medium Risk
CRED-00080,CUST-00080,684,Occasional Late,0,0.22,Medium Risk
CRED-00081,CUST-00081,717,Occasional Late,1,0.25,Medium Risk
CRED-00082,CUST-00082,487,Default Risk,6,0.89,Very High Risk
CRED-00083,CUST-00083,744,On-Time,0,0.34,Medium Risk
CRED-00084,CUST-00084,733,On-Time,0,0.31,Medium Risk
CRED-00085,CUST-00085,658,Frequently Late,4,0.45,High Risk
CRED-00086,CUST-00086,687,On-Time,1,0.45,Medium Risk
CRED-00087,CUST-00087,548,Frequently Late,7,0.97,Very High Risk
CRED-00088,CUST-00088,598,Frequently Late,4,0.57,High Risk
CRED-00089,CUST-00089,584,Frequently Late,2,0.47,High Risk
CRED-00090,CUST-00090,562,Default Risk,4,0.83,Very High Risk
CRED-00091,CUST-00091,727,Occasional Late,1,0.35,Medium Risk
CRED-00092,CUST-00092,779,On-Time,0,0.25,Low Risk
CRED-00093,CUST-00093,504,Frequently Late,8,0.77,Very High Risk
CRED-00094,CUST-00094,750,On-Time,0,0.1,Low Risk
