customer_id,age,gender,education,employment_status,marital_status,city_tier,occupation,customer_since
CUST-00001,56,Female,High School,Self-Employed,Single,Tier 3,Healthcare,2021-01-17
CUST-00002,69,Male,Associate,Retired,Single,Tier 1,Retired,2022-03-15
CUST-00003,46,Female,Associate,Employed,Single,Tier 2,Finance/Banking,2019-12-13
CUST-00004,32,Male,Doctorate,Employed,Single,Tier 3,Trades/Manufacturing,2019-02-17
CUST-00005,60,Male,Bachelor'S,Employed,Married,Tier 1,Management/Executive,2022-11-01
CUST-00006,25,Male,Bachelor'S,Employed,Married,Tier 3,Healthcare,2020-07-03
CUST-00007,38,Male,Doctorate,Employed,Married,Tier 3,Trades/Manufacturing,2022-09-06
CUST-00008,56,Male,High School,Employed,Divorced,Tier 1,Software/Tech,2019-11-16
CUST-00009,75,Male,Bachelor'S,Retired,Married,Tier 1,Retired,2019-07-05
CUST-00010,36,Female,Bachelor'S,Employed,Single,Tier 1,Education,2024-10-08
CUST-00011,40,Male,High School,Employed,Married,Tier 1,Finance/Banking,2021-10-22
CUST-00012,28,Male,Bachelor'S,Employed,Married,Tier 2,Trades/Manufacturing,2020-05-06
CUST-00013,28,Male,High School,Self-Employed,Married,Tier 3,Retail/Hospitality,2021-07-21
CUST-00014,41,Female,High School,Employed,Married,Tier 2,Healthcare,2024-02-13
CUST-00015,70,Male,High School,Employed,Single,Tier 2,Healthcare,2018-03-28
CUST-00016,53,Male,Master'S,Self-Employed,Married,Tier 1,Other,2023-08-08
CUST-00017,57,Female,Bachelor'S,Self-Employed,Married,Tier 2,Other,2022-02-20
CUST-00018,41,Female,Bachelor'S,Self-Employed,Married,Tier 2,Retail/Hospitality,2020-04-12
CUST-00019,20,Female,Bachelor'S,Student,Single,Tier 2,Student,2022-01-31
CUST-00020,39,Female,Associate,Unemployed,Single,Tier 2,Unemployed,2024-01-26
CUST-00021,70,Male,Bachelor'S,Employed,Married,Tier 3,Finance/Banking,2023-01-21
CUST-00022,19,Female,Bachelor'S,Student,Divorced,Tier 2,Student,2022-01-06
CUST-00023,41,Male,High School,Unemployed,Single,Tier 1,Unemployed,2020-12-04
CUST-00024,61,Male,Bachelor'S,Employed,Married,Tier 1,Healthcare,2021-09-08
CUST-00025,47,Male,High School,Employed,Single,Tier 1,Other,2023-08-07
CUST-00026,55,Female,High School,Employed,Single,Tier 2,Finance/Banking,2023-08-07
CUST-00027,19,Male,Master'S,Student,Married,Tier 1,Student,2021-05-10
CUST-00028,38,Female,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2018-10-03
CUST-00029,50,Female,Bachelor'S,Employed,Married,Tier 1,Finance/Banking,2018-05-31
CUST-00030,29,Male,Bachelor'S,Employed,Married,Tier 2,Education,2024-02-18
CUST-00031,75,Female,Associate,Retired,Married,Tier 1,Retired,2021-11-16
CUST-00032,39,Female,Bachelor'S,Self-Employed,Single,Tier 2,Healthcare,2024-11-01
CUST-00033,61,Female,Bachelor'S,Employed,Single,Tier 3,Software/Tech,2019-01-09
CUST-00034,42,Male,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2023-10-09
CUST-00035,66,Female,Doctorate,Retired,Single,Tier 2,Retired,2018-06-05
CUST-00036,44,Male,Doctorate,Employed,Single,Tier 2,Healthcare,2022-04-04
CUST-00037,59,Female,Bachelor'S,Employed,Married,Tier 1,Management/Executive,2019-06-22
CUST-00038,45,Female,Master'S,Employed,Widowed,Tier 1,Trades/Manufacturing,2023-01-06
CUST-00039,33,Male,Bachelor'S,Employed,Single,Tier 3,Software/Tech,2020-09-23
CUST-00040,32,Female,Bachelor'S,Employed,Married,Tier 2,Healthcare,2024-08-18
CUST-00041,64,Female,High School,Self-Employed,Single,Tier 1,Software/Tech,2021-11-27
CUST-00042,68,Female,Bachelor'S,Retired,Single,Tier 1,Retired,2019-08-28
CUST-00043,61,Male,Master'S,Employed,Married,Tier 2,Software/Tech,2023-08-05
CUST-00044,72,Male,Bachelor'S,Employed,Married,Tier 3,Retail/Hospitality,2019-02-05
CUST-00045,69,Non-Binary,Bachelor'S,Employed,Single,Tier 2,Finance/Banking,2020-07-22
CUST-00046,74,Female,High School,Retired,Divorced,Tier 1,Retired,2021-09-03
CUST-00047,20,Female,Associate,Student,Married,Tier 2,Student,2024-12-11
CUST-00048,54,Male,High School,Employed,Married,Tier 1,Other,2021-02-13
CUST-00049,68,Male,Associate,Retired,Married,Tier 1,Retired,2019-11-11
CUST-00050,24,Female,Bachelor'S,Employed,Single,Tier 1,Software/Tech,2024-01-16
CUST-00051,38,Female,Associate,Employed,Married,Tier 2,Software/Tech,2020-05-15
CUST-00052,26,Male,Bachelor'S,Employed,Single,Tier 2,Software/Tech,2020-10-13
CUST-00053,56,Female,Bachelor'S,Employed,Single,Tier 2,Retail/Hospitality,2019-06-22
CUST-00054,35,Female,Associate,Self-Employed,Married,Tier 2,Finance/Banking,2024-11-06
CUST-00055,21,Male,High School,Employed,Single,Tier 2,Trades/Manufacturing,2022-04-16
CUST-00056,42,Male,Master'S,Employed,Married,Tier 3,Trades/Manufacturing,2020-11-01
CUST-00057,31,Male,High School,Self-Employed,Married,Tier 1,Trades/Manufacturing,2023-01-24
CUST-00058,67,Female,High School,Employed,Married,Tier 1,Healthcare,2020-06-15
CUST-00059,75,Male,Master'S,Retired,Married,Tier 1,Retired,2024-10-29
CUST-00060,26,Male,Doctorate,Employed,Divorced,Tier 1,Software/Tech,2023-10-08
CUST-00061,43,Female,Bachelor'S,Employed,Widowed,Tier 1,Retail/Hospitality,2024-03-15
CUST-00062,70,Male,High School,Retired,Divorced,Tier 3,Retired,2020-11-26
CUST-00063,19,Male,High School,Employed,Married,Tier 1,Software/Tech,2022-12-03
CUST-00064,37,Male,Doctorate,Employed,Married,Tier 1,Other,2022-04-09
CUST-00065,45,Female,Master'S,Self-Employed,Single,Tier 2,Finance/Banking,2020-12-06
CUST-00066,64,Female,Bachelor'S,Employed,Married,Tier 1,Software/Tech,2022-02-24
CUST-00067,24,Male,High School,Employed,Married,Tier 1,Healthcare,2018-03-24
CUST-00068,61,Female,High School,Self-Employed,Married,Tier 2,Other,2018-08-18
CUST-00069,25,Female,High School,Self-Employed,Married,Tier 3,Healthcare,2021-01-08
CUST-00070,64,Male,Bachelor'S,Employed,Married,Tier 1,Education,2021-11-02
CUST-00071,52,Male,High School,Employed,Divorced,Tier 1,Finance/Banking,2019-08-15
CUST-00072,31,Male,Doctorate,Employed,Single,Tier 3,Retail/Hospitality,2021-01-02
CUST-00073,34,Male,High School,Employed,Married,Tier 1,Finance/Banking,2019-09-13
CUST-00074,53,Female,Bachelor'S,Employed,Married,Tier 2,Software/Tech,2024-12-16
CUST-00075,67,Female,High School,Retired,Single,Tier 1,Retired,2018-06-16
CUST-00076,57,Male,Bachelor'S,Employed,Married,Tier 2,Healthcare,2023-02-02
CUST-00077,21,Male,High School,Student,Married,Tier 2,Student,2023-10-30
CUST-00078,19,Male,Bachelor'S,Student,Single,Tier 1,Student,2023-11-28
CUST-00079,23,Female,Bachelor'S,Unemployed,Married,Tier 3,Unemployed,2019-03-07
