debt_id,customer_id,credit_card_debt,personal_loan,education_loan,vehicle_loan,mortgage,total_debt,debt_to_income_ratio
DEBT-00001,CUST-00001,10309.06,0.0,0.0,12469.28,0.0,22778.34,0.0433
DEBT-00002,CUST-00002,11049.72,0.0,0.0,26648.97,0.0,37698.69,0.0785
DEBT-00003,CUST-00003,5980.29,0.0,0.0,0.0,0.0,5980.29,0.0126
DEBT-00004,CUST-00004,8773.58,0.0,0.0,18521.5,0.0,27295.08,0.0471
DEBT-00005,CUST-00005,11222.65,0.0,0.0,0.0,385853.08,397075.73,0.6388
DEBT-00006,CUST-00006,2792.94,0.0,28522.58,0.0,0.0,31315.52,0.0668
DEBT-00007,CUST-00007,0.0,11985.09,0.0,0.0,400371.12,412356.21,0.4344
DEBT-00008,CUST-00008,681.17,3016.04,0.0,0.0,0.0,3697.21,0.0112
DEBT-00009,CUST-00009,0.0,0.0,0.0,13194.18,0.0,13194.18,0.0208
DEBT-00010,CUST-00010,7598.76,0.0,19407.39,25323.1,0.0,52329.25,0.1234
DEBT-00011,CUST-00011,800.41,0.0,0.0,7136.62,248355.94,256292.97,0.5818
DEBT-00012,CUST-00012,6244.89,0.0,12395.33,26067.24,196557.12,241264.58,0.6177
DEBT-00013,CUST-00013,5915.61,0.0,0.0,0.0,0.0,5915.61,0.0176
DEBT-00014,CUST-00014,2554.34,0.0,0.0,33074.96,162817.41,198446.71,0.7709
DEBT-00015,CUST-00015,2276.5,12974.55,0.0,0.0,0.0,15251.05,0.0487
DEBT-00016,CUST-00016,5862.68,0.0,0.0,33813.77,199402.3,239078.75,0.6849
DEBT-00017,CUST-00017,0.0,0.0,0.0,23641.06,0.0,23641.06,0.036
DEBT-00018,CUST-00018,3944.85,0.0,0.0,34037.64,0.0,37982.49,0.0769
DEBT-00019,CUST-00019,312.48,24854.78,13971.03,0.0,0.0,39138.29,0.2908
DEBT-00020,CUST-00020,518.87,0.0,0.0,26140.04,0.0,26658.91,0.3182
DEBT-00021,CUST-00021,0.0,0.0,0.0,31643.18,0.0,31643.18,0.0572
DEBT-00022,CUST-00022,1065.76,0.0,0.0,23359.56,0.0,24425.32,0.2787
DEBT-00023,CUST-00023,1715.53,0.0,0.0,0.0,0.0,1715.53,0.0157
DEBT-00024,CUST-00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00025,CUST-00025,3166.84,0.0,0.0,0.0,292257.79,295424.63,1.1172
DEBT-00026,CUST-00026,5740.46,0.0,0.0,0.0,128857.53,134597.99,0.3671
DEBT-00027,CUST-00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00028,CUST-00028,3360.41,20433.79,6404.42,11201.45,155910.15,197310.22,0.3584
DEBT-00029,CUST-00029,0.0,0.0,0.0,19350.56,0.0,19350.56,0.027
DEBT-00030,CUST-00030,0.0,0.0,44362.74,0.0,378282.23,422644.97,1.1865
DEBT-00031,CUST-00031,0.0,0.0,0.0,16390.02,0.0,16390.02,0.0439
DEBT-00032,CUST-00032,0.0,0.0,0.0,0.0,112151.84,112151.84,0.1938
DEBT-00033,CUST-00033,10003.03,0.0,0.0,0.0,143958.82,153961.85,0.2636
DEBT-00034,CUST-00034,8900.13,0.0,0.0,0.0,0.0,8900.13,0.0146
DEBT-00035,CUST-00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00036,CUST-00036,12128.15,0.0,0.0,0.0,0.0,12128.15,0.0136
DEBT-00037,CUST-00037,9430.53,0.0,0.0,0.0,0.0,9430.53,0.0113
DEBT-00038,CUST-00038,0.0,0.0,0.0,0.0,395741.58,395741.58,0.613
DEBT-00039,CUST-00039,0.0,0.0,36893.63,0.0,0.0,36893.63,0.0458
DEBT-00040,CUST-00040,3443.54,0.0,44339.23,0.0,0.0,47782.77,0.1045
DEBT-00041,CUST-00041,2824.68,0.0,0.0,14973.88,322433.06,340231.62,1.0081
DEBT-00042,CUST-00042,11255.32,14224.87,0.0,0.0,0.0,25480.19,0.0502
DEBT-00043,CUST-00043,6075.43,16164.58,0.0,0.0,0.0,22240.01,0.0227
DEBT-00044,CUST-00044,4441.81,8679.21,0.0,0.0,0.0,13121.02,0.0211
DEBT-00045,CUST-00045,0.0,0.0,0.0,27589.59,0.0,27589.59,0.0416
DEBT-00046,CUST-00046,0.0,0.0,0.0,13804.44,0.0,13804.44,0.0477
DEBT-00047,CUST-00047,0.0,7606.7,0.0,0.0,0.0,7606.7,0.0779
DEBT-00048,CUST-00048,6846.0,0.0,0.0,0.0,0.0,6846.0,0.0228
DEBT-00049,CUST-00049,0.0,8285.67,0.0,11322.49,0.0,19608.16,0.049
DEBT-00050,CUST-00050,9372.56,9141.73,44809.2,0.0,0.0,63323.49,0.124
DEBT-00051,CUST-00051,3871.32,13991.99,0.0,0.0,0.0,17863.31,0.0437
DEBT-00052,CUST-00052,1797.44,0.0,0.0,0.0,0.0,1797.44,0.0027
DEBT-00053,CUST-00053,0.0,0.0,0.0,0.0,255422.09,255422.09,0.3761
DEBT-00054,CUST-00054,12407.23,18343.94,0.0,14827.29,0.0,45578.46,0.0806
DEBT-00055,CUST-00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEBT-00056,CUST-00056,832.87,0.0,0.0,4405.68,0.0,5238.55,0.0071
DEBT-00057,CUST-00057,0.0,0.0,0.0,0.0,438916.39,438916.39,1.39
DEBT-00058,CUST-00058,9554.19,0.0,0.0,0.0,0.0,9554.19,0.0182
DEBT-00059,CUST-00059,0.0,24273.34,0.0,0.0,0.0,24273.34,0.0243
DEBT-00060,CUST-00060,26879.88,0.0,0.0,10422.64,0.0,37302.52,0.0306
DEBT-00061,CUST-00061,0.0,3151.21,0.0,0.0,259512.43,262663.64,0.5097
DEBT-00062,CUST-00062,3586.31,0.0,0.0,29790.46,0.0,33376.77,0.0922
