income_id,customer_id,monthly_income,annual_income,income_source,income_stability
INC-00001,CUST-00001,6313.01,75756.12,Business,Low
INC-00002,CUST-00002,5763.26,69159.12,Pension/Government,High
INC-00003,CUST-00003,5703.76,68445.12,Salary,High
INC-00004,CUST-00004,6949.3,83391.6,Salary,High
INC-00005,CUST-00005,7459.55,89514.6,Salary,Medium
INC-00006,CUST-00006,5628.53,67542.36,Salary,High
INC-00007,CUST-00007,11391.62,136699.44,Salary,High
INC-00008,CUST-00008,3963.67,47564.04,Salary,High
INC-00009,CUST-00009,7626.76,91521.12,Pension/Government,High
INC-00010,CUST-00010,5090.4,61084.8,Salary,High
INC-00011,CUST-00011,5286.31,63435.72,Salary,High
INC-00012,CUST-00012,4687.13,56245.56,Salary,High
INC-00013,CUST-00013,4043.62,48523.44,Freelance,Medium
INC-00014,CUST-00014,3088.99,37067.88,Salary,Medium
INC-00015,CUST-00015,3761.81,45141.72,Salary,High
INC-00016,CUST-00016,4188.94,50267.28,Business,Low
INC-00017,CUST-00017,7875.38,94504.56,Business,Low
INC-00018,CUST-00018,5927.56,71130.72,Business,Low
INC-00019,CUST-00019,1615.33,19383.96,Family,Low
INC-00020,CUST-00020,1005.33,12063.96,Government Support,Low
INC-00021,CUST-00021,6637.34,79648.08,Salary,High
INC-00022,CUST-00022,1051.73,12620.76,Family,Low
INC-00023,CUST-00023,1313.08,15756.96,Government Support,Low
INC-00024,CUST-00024,8356.08,100272.96,Salary,High
INC-00025,CUST-00025,3173.33,38079.96,Salary,High
INC-00026,CUST-00026,4400.35,52804.2,Salary,High
INC-00027,CUST-00027,1658.64,19903.68,Government Support,Low
INC-00028,CUST-00028,6607.06,79284.72,Salary,High
INC-00029,CUST-00029,8614.53,103374.36,Salary,High
INC-00030,CUST-00030,4274.53,51294.36,Salary,Medium
INC-00031,CUST-00031,4477.49,53729.88,Investment,High
INC-00032,CUST-00032,6945.4,83344.8,Business,Medium
INC-00033,CUST-00033,7010.14,84121.68,Salary,High
INC-00034,CUST-00034,7336.65,88039.8,Salary,Medium
INC-00035,CUST-00035,9041.0,108492.0,Pension/Government,High
INC-00036,CUST-00036,10690.75,128289.0,Salary,High
INC-00037,CUST-00037,10047.3,120567.6,Salary,Medium
INC-00038,CUST-00038,7747.38,92968.56,Salary,High
INC-00039,CUST-00039,9671.96,116063.52,Salary,High
INC-00040,CUST-00040,5489.53,65874.36,Salary,Medium
INC-00041,CUST-00041,4049.79,48597.48,Freelance,Low
INC-00042,CUST-00042,6094.29,73131.48,Investment,High
INC-00043,CUST-00043,11735.1,140821.2,Salary,High
INC-00044,CUST-00044,7453.09,89437.08,Salary,Medium
INC-00045,CUST-00045,7960.46,95525.52,Salary,High
INC-00046,CUST-00046,3471.13,41653.56,Pension/Government,High
INC-00047,CUST-00047,1171.79,14061.48,Government Support,Low
INC-00048,CUST-00048,3599.03,43188.36,Salary,High
INC-00049,CUST-00049,4805.86,57670.32,Pension/Government,High
INC-00050,CUST-00050,6126.72,73520.64,Salary,High
INC-00051,CUST-00051,4910.73,58928.76,Salary,High
INC-00052,CUST-00052,8118.2,97418.4,Salary,Medium
INC-00053,CUST-00053,8148.87,97786.44,Salary,Medium
INC-00054,CUST-00054,6786.57,81438.84,Freelance,Low
INC-00055,CUST-00055,2604.97,31259.64,Salary,High
INC-00056,CUST-00056,8812.78,105753.36,Salary,High
INC-00057,CUST-00057,3789.15,45469.8,Freelance,Low
INC-00058,CUST-00058,6312.37,75748.44,Salary,High
INC-00059,CUST-00059,11995.61,143947.32,Pension/Government,High
INC-00060,CUST-00060,14607.8,175293.6,Salary,High
INC-00061,CUST-00061,6184.36,74212.32,Salary,High
INC-00062,CUST-00062,4344.5,52134.0,Pension/Government,High
INC-00063,CUST-00063,3080.42,36965.04,Salary,High
INC-00064,CUST-00064,9718.21,116618.52,Salary,High
INC-00065,CUST-00065,11635.93,139631.16,Freelance,Low
INC-00066,CUST-00066,7204.41,86452.92,Salary,High
INC-00067,CUST-00067,3113.27,37359.24,Salary,High
INC-00068,CUST-00068,6247.57,74970.84,Freelance,Medium
INC-00069,CUST-00069,3728.54,44742.48,Business,Low
INC-00070,CUST-00070,3308.98,39707.76,Salary,High
INC-00071,CUST-00071,3873.03,46476.36,Salary,High
INC-00072,CUST-00072,10715.76,128589.12,Salary,High
INC-00073,CUST-00073,2864.99,34379.88,Salary,High
INC-00074,CUST-00074,9368.18,112418.16,Salary,High
INC-00075,CUST-00075,6561.02,78732.24,Pension/Government,High
INC-00076,CUST-00076,9058.78,108705.36,Salary,High
INC-00077,CUST-00077,588.7,7064.4,Government Support,Low
INC-00078,CUST-00078,773.27,9279.24,Freelance,Low
INC-00079,CUST-00079,1322.41,15868.92,Government Support,Low
INC-00080,CUST-00080,4462.46,53549.52,Pension/Government,High
INC-00081,CUST-00081,13380.36,160564.32,Business,Medium
INC-00082,CUST-00082,766.63,9199.56,Freelance,Low
INC-00083,CUST-00083,6547.22,78566.64,Pension/Government,High
INC-00084,CUST-00084,9048.89,108586.68,Salary,High
INC-00085,CUST-00085,7983.41,95800.92,Salary,Medium
INC-00086,CUST-00086,2794.84,33538.08,Salary,Medium
INC-00087,CUST-00087,4116.54,49398.48,Salary,Medium
INC-00088,CUST-00088,11253.3,135039.6,Salary,Medium
INC-00089,CUST-00089,4097.45,49169.4,Salary,High
INC-00090,CUST-00090,5443.05,65316.6,Business,Low
INC-00091,CUST-00091,2991.2,35894.4,Salary,Medium
INC-00092,CUST-00092,4831.32,57975.84,Salary,Medium
INC-00093,CUST-00093,7620.59,91447.08,Pension/Government,High
INC-00094,CUST-00094,10618.95,127427.4,Freelance,Medium
INC-00095,CUST-00095,5688.51,68262.12,Salary,High
INC-00096,CUST-00096,5328.22,63938.64,Business,Medium
INC-00097,CUST-00097,3840.19,46082.28,Salary,Medium
INC-00098,CUST-00098,7896.66,94759.92,Pension/Government,High
INC-00099,CUST-00099,6181.98,74183.76,Salary,Medium
INC-00100,CUST-00100,2754.49,33053.88,Salary,High
INC-00101,CUST-00101,4868.1,58417.2,Salary,Medium
INC-00102,CUST-00102,7291.56,87498.72,Freelance,Low
INC-00103,CUST-00103,5626.74,67520.88,Freelance,Medium
INC-00104,CUST-00104,1612.48,19349.76,Government Support,Low
INC-00105,CUST-00105,4379.55,52554.6,Pension/Government,High
INC-00106,CUST-00106,2554.55,30654.6,Salary,Medium
INC-00107,CUST-00107,4883.63,58603.56,Freelance,Medium
INC-00108,CUST-00108,8968.72,107624.64,Salary,High
INC-00109,CUST-00109,5970.12,71641.44,Salary,High
INC-00110,CUST-00110,5220.03,62640.36,Salary,High
INC-00111,CUST-00111,3648.57,43782.84,Salary,Medium
INC-00112,CUST-00112,2865.61,34387.32,Salary,Medium
INC-00113,CUST-00113,6949.73,83396.76,Salary,High
INC-00114,CUST-00114,6240.78,74889.36,Salary,High
INC-00115,CUST-00115,3601.05,43212.6,Salary,High
INC-00116,CUST-00116,5696.1,68353.2,Salary,High
INC-00117,CUST-00117,9930.95,119171.4,Salary,High
INC-00118,CUST-00118,13353.36,160240.32,Salary,High
INC-00119,CUST-00119,1020.68,12248.16,Freelance,Low
INC-00120,CUST-00120,8425.95,101111.4,Salary,High
INC-00121,CUST-00121,6874.8,82497.6,Salary,Medium
INC-00122,CUST-00122,3441.52,41298.24,Salary,Medium
INC-00123,CUST-00123,6279.63,75355.56,Salary,High
INC-00124,CUST-00124,5667.59,68011.08,Salary,High
INC-00125,CUST-00125,11322.73,135872.76,Freelance,Low
INC-00126,CUST-00126,10373.74,124484.88,Salary,High
INC-00127,CUST-00127,5622.18,67466.16,Business,Medium
INC-00128,CUST-00128,4991.61,59899.32,Salary,High
INC-00129,CUST-00129,2757.75,33093.0,Salary,High
INC-00130,CUST-00130,5083.49,61001.88,Salary,High
INC-00131,CUST-00131,10412.85,124954.2,Freelance,Low
INC-00132,CUST-00132,7681.5,92178.0,Salary,High
INC-00133,CUST-00133,6085.39,73024.68,Salary,High
INC-00134,CUST-00134,5327.85,63934.2,Salary,High
INC-00135,CUST-00135,7910.85,94930.2,Salary,High
INC-00136,CUST-00136,3786.13,45433.56,Salary,High
INC-00137,CUST-00137,3973.13,47677.56,Salary,High
INC-00138,CUST-00138,4744.82,56937.84,Salary,High
INC-00139,CUST-00139,3062.1,36745.2,Salary,High
INC-00140,CUST-00140,7943.56,95322.72,Salary,High
INC-00141,CUST-00141,13658.53,163902.36,Salary,High
INC-00142,CUST-00142,12295.17,147542.04,Investment,High
INC-00143,CUST-00143,9295.48,111545.76,Investment,High
INC-00144,CUST-00144,9514.71,114176.52,Salary,High
INC-00145,CUST-00145,7094.16,85129.92,Salary,Medium
INC-00146,CUST-00146,7284.76,87417.12,Salary,Medium
INC-00147,CUST-00147,9195.19,110342.28,Salary,Medium
INC-00148,CUST-00148,10688.3,128259.6,Salary,Medium
INC-00149,CUST-00149,10338.45,124061.4,Salary,High
INC-00150,CUST-00150,4186.03,50232.36,Salary,Medium
INC-00151,CUST-00151,3165.29,37983.48,Salary,Medium
INC-00152,CUST-00152,9943.61,119323.32,Salary,High
INC-00153,CUST-00153,3000.81,36009.72,Salary,High
INC-00154,CUST-00154,18493.19,221918.28,Salary,High
INC-00155,CUST-00155,10429.66,125155.92,Salary,High
INC-00156,CUST-00156,4983.91,59806.92,Salary,High
INC-00157,CUST-00157,3867.65,46411.8,Salary,High
INC-00158,CUST-00158,5382.52,64590.24,Salary,High
INC-00159,CUST-00159,2795.37,33544.44,Salary,High
