savings_id,customer_id,monthly_savings,savings_balance,savings_rate,emergency_fund_status
SAV-00001,CUST-00001,1202.68,76433.81,0.1905,Fully Funded
SAV-00002,CUST-00002,841.53,36669.38,0.146,Fully Funded
SAV-00003,CUST-00003,859.13,78418.88,0.1506,Fully Funded
SAV-00004,CUST-00004,1364.66,90306.43,0.1964,Fully Funded
SAV-00005,CUST-00005,756.18,24877.62,0.1014,Partially Funded
SAV-00006,CUST-00006,1013.04,62627.28,0.18,Fully Funded
SAV-00007,CUST-00007,1876.38,93498.64,0.1647,Fully Funded
SAV-00008,CUST-00008,528.42,49931.29,0.1333,Fully Funded
SAV-00009,CUST-00009,1021.58,100597.13,0.1339,Fully Funded
SAV-00010,CUST-00010,483.84,8250.54,0.095,Low
SAV-00011,CUST-00011,442.19,16937.69,0.0836,Partially Funded
SAV-00012,CUST-00012,827.06,55982.17,0.1765,Fully Funded
SAV-00013,CUST-00013,575.95,27618.88,0.1424,Fully Funded
SAV-00014,CUST-00014,377.08,6156.15,0.1221,Low
SAV-00015,CUST-00015,852.12,86146.39,0.2265,Fully Funded
SAV-00016,CUST-00016,621.6,16265.47,0.1484,Partially Funded
SAV-00017,CUST-00017,1177.92,68880.79,0.1496,Fully Funded
SAV-00018,CUST-00018,1224.86,103007.74,0.2066,Fully Funded
SAV-00019,CUST-00019,395.57,18169.24,0.2449,Fully Funded
SAV-00020,CUST-00020,143.66,5117.27,0.1429,Fully Funded
SAV-00021,CUST-00021,1581.87,40686.66,0.2383,Fully Funded
SAV-00022,CUST-00022,232.78,9053.82,0.2213,Fully Funded
SAV-00023,CUST-00023,110.85,8458.24,0.0844,Fully Funded
SAV-00024,CUST-00024,764.28,46944.82,0.0915,Fully Funded
SAV-00025,CUST-00025,519.58,11649.07,0.1637,Partially Funded
SAV-00026,CUST-00026,1041.98,22428.05,0.2368,Fully Funded
SAV-00027,CUST-00027,254.37,12086.31,0.1534,Fully Funded
SAV-00028,CUST-00028,1103.21,80998.81,0.167,Fully Funded
SAV-00029,CUST-00029,697.64,61608.84,0.081,Fully Funded
SAV-00030,CUST-00030,580.45,15499.9,0.1358,Partially Funded
SAV-00031,CUST-00031,314.01,20560.92,0.0701,Partially Funded
SAV-00032,CUST-00032,1744.11,23025.58,0.2511,Partially Funded
SAV-00033,CUST-00033,1480.11,104910.85,0.2111,Fully Funded
SAV-00034,CUST-00034,879.12,22871.52,0.1198,Partially Funded
SAV-00035,CUST-00035,1573.4,168762.02,0.174,Fully Funded
SAV-00036,CUST-00036,2165.19,120155.03,0.2025,Fully Funded
SAV-00037,CUST-00037,1224.52,99844.41,0.1219,Fully Funded
SAV-00038,CUST-00038,813.91,30697.35,0.1051,Partially Funded
SAV-00039,CUST-00039,2611.56,116515.75,0.27,Fully Funded
SAV-00040,CUST-00040,1302.65,16768.45,0.2373,Partially Funded
SAV-00041,CUST-00041,670.15,32403.67,0.1655,Fully Funded
SAV-00042,CUST-00042,644.14,37566.14,0.1057,Fully Funded
SAV-00043,CUST-00043,1550.31,55799.52,0.1321,Fully Funded
SAV-00044,CUST-00044,2016.72,154328.1,0.2706,Fully Funded
SAV-00045,CUST-00045,1559.88,108727.04,0.196,Fully Funded
SAV-00046,CUST-00046,335.67,21706.37,0.0967,Fully Funded
SAV-00047,CUST-00047,289.19,3208.4,0.2468,Partially Funded
