transaction_id,customer_id,transaction_date,transaction_type,category,amount,payment_method,merchant_type
TXN-0000001,CUST-00001,2023-09-05 00:00:00,Debit,Subscription,16.12,Debit Card,Apparel
TXN-0000002,CUST-00001,2023-04-21 00:00:00,Debit,Dining,158.26,Bank Transfer,Healthcare
TXN-0000003,CUST-00001,2022-04-03 00:00:00,Debit,Groceries,64.39,Debit Card,Gas Station
TXN-0000004,CUST-00001,2023-01-09 00:00:00,Debit,Utilities,333.01,Credit Card,Restaurant
TXN-0000005,CUST-00001,2022-07-14 00:00:00,Debit,Entertainment,54.28,Digital Wallet,Restaurant
TXN-0000006,CUST-00002,2023-05-16 00:00:00,Debit,Dining,28.41,Cash,General Merchant
TXN-0000007,CUST-00002,2024-01-08 00:00:00,Debit,Transfer,1871.98,Bank Transfer,Electronics
TXN-0000008,CUST-00002,2023-08-18 00:00:00,Credit,Transfer,1638.71,Debit Card,Restaurant
TXN-0000009,CUST-00002,2022-08-15 00:00:00,Credit,Transfer,2228.3,Debit Card,Electronics
TXN-0000010,CUST-00002,2023-12-03 00:00:00,Debit,Entertainment,52.97,Digital Wallet,Healthcare
TXN-0000011,CUST-00002,2025-01-26 00:00:00,Debit,Travel,182.23,Credit Card,Restaurant
TXN-0000012,CUST-00002,2022-09-04 00:00:00,Debit,Travel,928.62,Credit Card,Restaurant
TXN-0000013,CUST-00002,2022-06-23 00:00:00,Debit,Entertainment,145.11,Debit Card,Supermarket
TXN-0000014,CUST-00002,2025-08-09 00:00:00,Debit,Groceries,110.65,Debit Card,Apparel
TXN-0000015,CUST-00003,2024-11-29 00:00:00,Debit,Healthcare,159.19,Digital Wallet,Supermarket
TXN-0000016,CUST-00003,2023-02-08 00:00:00,Debit,Utilities,45.42,Digital Wallet,Healthcare
TXN-0000017,CUST-00003,2021-01-12 00:00:00,Debit,Groceries,183.15,Credit Card,Restaurant
TXN-0000018,CUST-00003,2020-08-31 00:00:00,Credit,Transfer,1555.2,Credit Card,Electronics
TXN-0000019,CUST-00003,2025-12-03 00:00:00,Debit,Entertainment,43.97,Cash,Restaurant
TXN-0000020,CUST-00003,2025-12-05 00:00:00,Debit,Dining,126.02,Digital Wallet,Service Provider
TXN-0000021,CUST-00004,2022-01-21 00:00:00,Debit,Shopping,203.25,Bank Transfer,Supermarket
TXN-0000022,CUST-00004,2024-01-06 00:00:00,Debit,Groceries,133.94,Digital Wallet,Online Retail
TXN-0000023,CUST-00004,2023-12-20 00:00:00,Debit,Transfer,2004.9,Bank Transfer,Supermarket
TXN-0000024,CUST-00005,2023-05-02 00:00:00,Debit,Entertainment,113.1,Cash,Gas Station
TXN-0000025,CUST-00005,2023-07-08 00:00:00,Debit,Travel,605.54,Cash,Gas Station
TXN-0000026,CUST-00005,2025-08-11 00:00:00,Debit,Shopping,62.06,Digital Wallet,Supermarket
TXN-0000027,CUST-00005,2023-12-16 00:00:00,Debit,Travel,753.18,Bank Transfer,Healthcare
TXN-0000028,CUST-00005,2023-07-24 00:00:00,Debit,Healthcare,401.24,Bank Transfer,Supermarket
TXN-0000029,CUST-00005,2025-11-26 00:00:00,Debit,Utilities,226.67,Digital Wallet,Healthcare
TXN-0000030,CUST-00005,2023-06-29 00:00:00,Debit,Shopping,379.22,Debit Card,Apparel
TXN-0000031,CUST-00006,2022-01-24 00:00:00,Debit,Utilities,302.26,Credit Card,Healthcare
TXN-0000032,CUST-00006,2024-11-23 00:00:00,Debit,Entertainment,194.92,Digital Wallet,Electronics
TXN-0000033,CUST-00006,2022-11-23 00:00:00,Debit,Shopping,351.03,Credit Card,Service Provider
TXN-0000034,CUST-00006,2024-08-07 00:00:00,Debit,Transfer,786.71,Cash,Electronics
TXN-0000035,CUST-00006,2024-11-08 00:00:00,Debit,Dining,63.2,Digital Wallet,Healthcare
TXN-0000036,CUST-00006,2021-04-06 00:00:00,Debit,Healthcare,396.68,Cash,Supermarket
TXN-0000037,CUST-00006,2021-11-26 00:00:00,Debit,Shopping,82.86,Digital Wallet,Apparel
TXN-0000038,CUST-00006,2025-03-31 00:00:00,Debit,Shopping,381.99,Bank Transfer,Gas Station
