expense_id,customer_id,housing_expense,food_expense,transportation_expense,healthcare_expense,entertainment_expense,utilities_expense,other_expense,total_monthly_expense
EXP-00001,CUST-00001,1398.06,874.61,412.75,204.11,632.0,448.65,180.46,4150.65
EXP-00002,CUST-00002,2305.47,705.69,359.4,175.9,575.07,278.14,291.91,4691.57
EXP-00003,CUST-00003,1786.69,694.59,337.35,283.03,253.67,409.81,215.65,3980.79
EXP-00004,CUST-00004,1347.45,1243.04,628.77,364.63,595.53,366.66,344.63,4890.71
EXP-00005,CUST-00005,2454.65,929.23,732.8,385.67,712.53,524.73,310.53,6050.14
EXP-00006,CUST-00006,1149.61,897.48,468.14,380.88,370.07,392.62,151.58,3810.38
EXP-00007,CUST-00007,2721.59,1526.37,956.87,728.63,564.04,729.59,608.34,7835.44
EXP-00008,CUST-00008,1391.82,601.94,400.04,123.61,212.35,226.5,200.84,3157.1
EXP-00009,CUST-00009,2949.65,1145.46,598.09,481.66,488.82,430.82,228.04,6322.54
EXP-00010,CUST-00010,1901.58,768.85,304.27,236.41,482.15,327.34,294.0,4314.59
EXP-00011,CUST-00011,2108.53,948.03,513.29,213.03,260.06,300.13,261.98,4605.05
EXP-00012,CUST-00012,1367.72,724.55,355.21,216.67,311.12,311.63,156.65,3443.55
EXP-00013,CUST-00013,881.27,515.11,404.61,212.27,386.56,267.01,103.75,2770.59
EXP-00014,CUST-00014,770.17,513.69,229.34,191.05,305.86,206.07,100.96,2317.15
EXP-00015,CUST-00015,911.77,560.58,225.51,243.69,272.77,227.13,103.29,2544.73
EXP-00016,CUST-00016,1345.68,721.25,404.58,253.39,151.44,247.65,228.85,3352.83
EXP-00017,CUST-00017,2004.54,1057.06,645.76,281.01,661.58,465.68,339.34,5454.97
EXP-00018,CUST-00018,1862.62,1054.54,443.38,380.26,256.85,339.05,126.86,4463.56
EXP-00019,CUST-00019,386.78,286.21,124.58,57.26,61.21,102.42,89.57,1108.03
EXP-00020,CUST-00020,301.74,166.23,78.78,55.16,104.76,63.35,38.96,808.98
EXP-00021,CUST-00021,1414.09,1079.14,590.38,302.86,438.68,414.14,198.4,4437.69
EXP-00022,CUST-00022,271.03,180.59,69.89,39.07,76.81,71.85,41.05,750.3
EXP-00023,CUST-00023,496.06,227.46,89.55,48.92,77.43,77.36,39.28,1056.07
EXP-00024,CUST-00024,3333.73,1221.62,576.12,367.12,819.55,422.03,404.39,7144.56
EXP-00025,CUST-00025,990.48,383.2,269.88,131.24,195.25,225.31,167.39,2362.75
EXP-00026,CUST-00026,1186.37,669.94,253.46,134.98,267.73,282.99,102.82,2898.3
EXP-00027,CUST-00027,501.94,199.49,94.55,51.06,66.69,103.05,60.44,1077.23
EXP-00028,CUST-00028,1798.33,897.02,580.68,274.07,552.63,327.76,160.12,4590.61
EXP-00029,CUST-00029,3205.71,1042.0,772.65,498.45,759.15,576.16,457.45,7311.58
EXP-00030,CUST-00030,1186.06,606.91,375.26,249.52,393.71,264.73,91.53,3167.71
EXP-00031,CUST-00031,1612.03,694.76,411.56,175.38,437.55,311.76,224.48,3867.51
EXP-00032,CUST-00032,1795.55,1108.43,613.48,313.25,285.57,387.89,285.11,4789.27
EXP-00033,CUST-00033,1763.81,865.18,597.85,222.76,532.08,339.83,336.83,4658.33
EXP-00034,CUST-00034,2122.79,1101.34,681.85,492.17,623.65,382.16,374.95,5778.92
EXP-00035,CUST-00035,2187.33,1395.07,726.64,557.77,522.34,618.42,232.53,6240.12
EXP-00036,CUST-00036,2786.34,1858.96,796.2,486.32,1114.37,751.67,338.35,8132.2
EXP-00037,CUST-00037,3431.18,1395.59,1040.29,627.05,462.6,585.0,240.34,7782.05
EXP-00038,CUST-00038,3034.9,1114.28,700.49,484.18,603.62,450.33,379.51,6767.3
EXP-00039,CUST-00039,2295.44,1261.56,706.29,528.27,373.04,537.68,255.28,5957.57
EXP-00040,CUST-00040,1307.63,786.96,423.08,202.32,356.62,287.15,164.47,3528.24
EXP-00041,CUST-00041,1236.36,710.03,395.03,154.74,342.03,199.5,91.95,3129.64
EXP-00042,CUST-00042,2401.12,736.76,498.42,299.11,522.48,351.25,128.63,4937.78
EXP-00043,CUST-00043,3406.0,1996.74,1054.07,438.87,997.68,666.8,404.77,8964.93
EXP-00044,CUST-00044,1787.07,906.26,421.44,258.38,691.41,445.76,173.93,4684.26
EXP-00045,CUST-00045,2528.15,1089.89,780.23,368.95,395.44,434.73,174.83,5772.21
EXP-00046,CUST-00046,1249.98,584.32,316.0,230.15,155.35,247.47,156.34,2939.61
EXP-00047,CUST-00047,325.59,153.74,107.92,67.89,46.02,69.84,28.74,799.75
EXP-00048,CUST-00048,1238.08,436.03,234.29,175.74,306.25,245.11,95.49,2730.97
EXP-00049,CUST-00049,1622.83,812.81,278.97,242.41,377.47,267.12,124.37,3725.97
EXP-00050,CUST-00050,2418.21,1006.23,361.85,401.78,600.51,359.6,338.08,5486.25
EXP-00051,CUST-00051,1217.83,736.81,382.1,221.91,467.1,285.38,253.76,3564.9
EXP-00052,CUST-00052,2060.33,1355.59,719.21,277.56,823.2,398.81,334.51,5969.22
EXP-00053,CUST-00053,2622.6,1449.98,756.96,307.63,291.56,454.18,213.76,6096.67
EXP-00054,CUST-00054,2116.27,1104.81,656.08,468.26,569.93,462.61,288.18,5666.15
EXP-00055,CUST-00055,749.28,419.17,203.14,139.99,120.45,167.7,63.8,1863.54
EXP-00056,CUST-00056,1775.43,1467.87,602.35,365.55,690.15,604.77,481.75,5987.87
EXP-00057,CUST-00057,1464.46,644.55,361.64,222.76,385.82,244.4,194.19,3517.82
EXP-00058,CUST-00058,1972.58,845.91,455.26,412.25,405.78,316.36,234.6,4642.74
EXP-00059,CUST-00059,4082.73,1780.33,785.61,782.34,1025.68,785.99,370.98,9613.66
EXP-00060,CUST-00060,4389.5,1876.05,1291.69,724.36,538.41,968.14,575.62,10363.78
EXP-00061,CUST-00061,2415.87,787.35,615.95,349.66,243.62,437.94,206.69,5057.08
EXP-00062,CUST-00062,1059.72,708.88,345.73,214.43,180.36,225.38,193.79,2928.28
EXP-00063,CUST-00063,1168.41,485.72,174.56,152.32,200.39,197.35,96.46,2475.2
EXP-00064,CUST-00064,3009.89,1492.81,932.91,537.85,552.15,696.41,355.24,7577.27
EXP-00065,CUST-00065,3476.66,1728.96,943.36,598.96,1198.72,597.48,389.23,8933.37
EXP-00066,CUST-00066,2270.38,1069.62,582.93,277.8,526.05,518.31,251.66,5496.75
EXP-00067,CUST-00067,1170.27,536.23,288.01,174.44,159.56,163.63,184.77,2676.91
EXP-00068,CUST-00068,1780.66,911.1,543.69,416.64,442.84,389.78,313.91,4798.62
EXP-00069,CUST-00069,939.54,588.76,233.46,207.82,388.69,268.1,152.46,2778.82
EXP-00070,CUST-00070,1001.79,581.33,326.11,145.18,150.08,197.52,189.1,2591.11
EXP-00071,CUST-00071,1364.61,646.59,331.59,123.6,238.09,196.79,78.62,2979.9
EXP-00072,CUST-00072,2153.19,1875.55,898.23,655.57,1085.16,692.93,280.02,7640.66
EXP-00073,CUST-00073,1025.51,410.64,212.96,109.22,227.44,184.33,98.93,2269.03
EXP-00074,CUST-00074,2322.95,1600.79,588.97,385.13,953.08,563.42,417.3,6831.63
EXP-00075,CUST-00075,2390.78,1001.04,649.73,345.96,332.85,362.6,182.61,5265.56
EXP-00076,CUST-00076,2522.34,1235.99,832.7,314.02,710.1,444.06,208.54,6267.76
EXP-00077,CUST-00077,155.85,100.0,50.0,40.27,59.19,40.0,20.0,465.3
EXP-00078,CUST-00078,288.49,127.92,50.0,30.0,53.96,40.0,42.48,632.86
EXP-00079,CUST-00079,276.28,171.88,112.32,91.63,95.18,75.41,27.27,849.96
EXP-00080,CUST-00080,1347.73,786.16,410.58,288.38,339.37,244.1,181.25,3597.56
EXP-00081,CUST-00081,3397.16,1949.17,1195.14,874.22,984.77,907.99,734.99,10043.45
EXP-00082,CUST-00082,244.31,124.4,74.85,33.85,70.79,54.27,34.17,636.64
EXP-00083,CUST-00083,1983.25,829.77,652.13,262.21,540.25,427.47,303.37,4998.44
EXP-00084,CUST-00084,2573.55,1182.36,733.07,470.98,528.07,572.59,435.41,6496.02
EXP-00085,CUST-00085,2910.95,1069.51,592.09,511.29,337.79,473.58,287.94,6183.16
EXP-00086,CUST-00086,859.02,448.63,211.25,178.29,292.46,153.76,137.3,2280.71
EXP-00087,CUST-00087,1228.88,734.44,258.12,191.96,185.44,226.85,152.51,2978.19
EXP-00088,CUST-00088,4413.06,1528.12,773.82,638.86,862.27,699.66,260.1,9175.89
EXP-00089,CUST-00089,1004.18,672.08,342.08,282.7,383.73,240.57,124.67,3050.02
EXP-00090,CUST-00090,1242.92,729.52,454.0,264.67,305.39,356.9,183.09,3536.49
EXP-00091,CUST-00091,1160.39,371.58,298.48,163.39,209.81,162.14,97.43,2463.21
EXP-00092,CUST-00092,1893.49,819.73,398.51,275.62,209.21,279.14,279.69,4155.39
EXP-00093,CUST-00093,2382.9,1148.21,732.1,268.7,407.39,533.93,216.71,5689.95
EXP-00094,CUST-00094,3120.3,1900.64,611.14,367.6,835.04,763.31,500.84,8098.87
EXP-00095,CUST-00095,1371.64,796.3,446.2,330.39,449.04,396.89,143.21,3933.69
EXP-00096,CUST-00096,1397.91,779.93,375.6,355.94,412.23,311.71,217.06,3850.38
EXP-00097,CUST-00097,1087.42,639.01,394.79,216.45,233.39,274.82,167.53,3013.42
EXP-00098,CUST-00098,1924.53,1024.26,779.87,314.13,504.09,520.83,177.6,5245.33
EXP-00099,CUST-00099,2400.27,853.6,508.47,230.09,598.16,443.05,187.59,5221.23
EXP-00100,CUST-00100,852.64,334.18,265.23,187.55,131.79,132.34,144.57,2048.3
EXP-00101,CUST-00101,1888.69,608.98,362.0,149.03,314.64,266.02,191.85,3781.21
EXP-00102,CUST-00102,2151.56,981.87,704.61,414.36,494.16,433.93,169.58,5350.07
EXP-00103,CUST-00103,2264.17,938.07,580.1,271.76,468.86,381.12,300.57,5204.65
EXP-00104,CUST-00104,370.04,256.44,105.84,95.75,120.28,81.64,79.49,1109.49
EXP-00105,CUST-00105,1570.94,528.86,449.75,255.86,341.74,223.13,131.0,3501.28
EXP-00106,CUST-00106,785.61,346.68,151.69,109.95,118.57,165.11,69.1,1746.72
EXP-00107,CUST-00107,1460.97,675.26,338.24,240.16,403.16,290.89,197.72,3606.39
EXP-00108,CUST-00108,2158.83,1546.8,739.86,624.33,729.45,612.94,247.88,6660.09
EXP-00109,CUST-00109,2110.46,738.31,557.68,294.26,597.87,292.64,322.03,4913.25
EXP-00110,CUST-00110,1264.21,746.12,373.96,179.72,389.07,259.47,172.26,3384.8
EXP-00111,CUST-00111,692.69,624.21,299.78,211.03,148.04,236.71,73.6,2286.06
EXP-00112,CUST-00112,1106.68,510.91,237.32,99.66,212.44,173.01,59.74,2399.76
EXP-00113,CUST-00113,2115.58,1050.48,628.27,414.14,511.42,413.15,287.29,5420.34
EXP-00114,CUST-00114,1679.88,855.91,578.91,412.2,562.13,405.97,143.22,4638.23
EXP-00115,CUST-00115,1145.66,594.08,261.44,218.11,160.47,228.6,211.18,2819.55
EXP-00116,CUST-00116,1666.97,690.35,470.29,228.1,226.84,299.96,209.03,3791.53
EXP-00117,CUST-00117,2584.31,1690.14,966.38,604.84,374.49,483.09,376.22,7079.47
EXP-00118,CUST-00118,4118.82,2051.77,1360.6,849.02,1199.88,714.87,672.99,10967.95
EXP-00119,CUST-00119,265.79,160.43,61.35,68.18,72.28,60.84,21.79,710.66
EXP-00120,CUST-00120,2499.61,1452.26,551.61,262.26,744.6,436.37,475.81,6422.53
EXP-00121,CUST-00121,1918.48,939.57,690.24,322.71,675.77,362.73,409.13,5318.63
EXP-00122,CUST-00122,703.67,609.44,272.27,207.85,209.93,217.72,183.72,2404.61
EXP-00123,CUST-00123,1981.45,1040.63,386.83,264.1,559.61,309.46,341.2,4883.29
EXP-00124,CUST-00124,1544.05,722.05,520.49,194.8,366.87,386.45,258.95,3993.65
EXP-00125,CUST-00125,2680.52,2004.48,742.83,723.95,794.66,790.59,494.51,8231.53
EXP-00126,CUST-00126,3078.99,1802.9,857.41,488.53,604.22,552.14,601.37,7985.56
EXP-00127,CUST-00127,1385.99,831.62,581.45,266.68,457.84,337.95,163.08,4024.61
EXP-00128,CUST-00128,1928.77,741.55,378.52,286.11,404.35,290.46,202.06,4231.82
EXP-00129,CUST-00129,993.07,474.27,261.32,185.53,185.41,166.9,89.2,2355.71
EXP-00130,CUST-00130,1277.36,678.49,449.84,179.12,348.03,314.38,132.91,3380.13
EXP-00131,CUST-00131,2225.35,1401.39,827.36,436.38,1073.48,715.55,416.05,7095.56
EXP-00132,CUST-00132,2425.75,1229.21,749.71,504.21,684.14,456.99,188.76,6238.78
EXP-00133,CUST-00133,1885.36,771.94,453.41,248.01,216.97,428.11,225.69,4229.5
EXP-00134,CUST-00134,2111.65,775.03,325.83,370.13,261.78,309.41,301.27,4455.1
EXP-00135,CUST-00135,1961.58,1000.33,461.34,535.41,731.71,410.24,263.76,5364.36
EXP-00136,CUST-00136,945.4,581.75,234.45,247.35,271.17,243.01,110.84,2633.97
EXP-00137,CUST-00137,1050.61,567.84,405.61,205.92,329.11,272.71,94.99,2926.8
EXP-00138,CUST-00138,1502.61,726.16,294.46,162.32,200.56,230.06,235.56,3351.72
EXP-00139,CUST-00139,1184.26,517.0,317.17,144.16,203.4,212.09,98.95,2677.02
EXP-00140,CUST-00140,1599.91,1330.58,688.07,461.08,385.76,408.03,290.09,5163.52
EXP-00141,CUST-00141,4274.31,1691.89,1008.5,653.55,1125.32,663.26,273.44,9690.26
EXP-00142,CUST-00142,4505.02,1953.77,1223.85,447.12,1017.33,720.66,435.46,10303.23
EXP-00143,CUST-00143,2934.76,1465.53,571.61,551.6,773.74,481.44,408.66,7187.33
EXP-00144,CUST-00144,3616.48,1227.54,568.33,481.52,978.5,683.3,416.17,7971.84
EXP-00145,CUST-00145,2111.92,977.25,692.68,462.11,389.72,406.33,309.69,5349.7
EXP-00146,CUST-00146,2212.49,1216.9,683.86,497.45,358.33,523.82,253.34,5746.19
EXP-00147,CUST-00147,2032.77,1504.69,813.62,379.83,539.06,590.17,259.49,6119.64
EXP-00148,CUST-00148,2619.67,1551.21,838.61,712.48,583.14,758.77,593.48,7657.35
EXP-00149,CUST-00149,2936.66,1646.46,791.99,593.07,615.56,740.49,442.76,7766.99
EXP-00150,CUST-00150,1301.59,518.51,278.43,152.17,307.03,201.65,146.39,2905.76
EXP-00151,CUST-00151,884.84,472.02,205.88,138.39,296.49,214.4,87.96,2299.97
EXP-00152,CUST-00152,2653.17,1576.36,715.68,672.57,662.13,528.76,563.86,7372.53
EXP-00153,CUST-00153,962.62,426.17,217.94,151.36,150.32,159.06,89.69,2157.15
EXP-00154,CUST-00154,6971.78,2704.5,1226.88,698.07,958.6,1019.99,922.68,14502.5
EXP-00155,CUST-00155,4037.65,1848.81,1079.96,340.76,805.19,602.56,237.47,8952.39
EXP-00156,CUST-00156,1161.23,808.5,314.51,201.75,307.18,330.4,111.92,3235.5
EXP-00157,CUST-00157,1060.57,534.65,335.06,211.78,216.82,210.64,113.79,2683.32
EXP-00158,CUST-00158,1616.63,745.47,356.05,345.89,369.02,382.13,123.69,3938.88
EXP-00159,CUST-00159,620.78,341.35,268.08,107.81,247.4,162.61,74.38,1822.42
EXP-00160,CUST-00160,3053.22,1630.99,656.53,631.21,921.01,658.57,454.6,8006.12
EXP-00161,CUST-00161,2913.88,1234.0,665.77,320.5,695.88,667.78,527.57,7025.38
EXP-00162,CUST-00162,2190.93,1378.19,570.05,429.21,642.41,467.32,284.67,5962.78
EXP-00163,CUST-00163,1497.33,678.75,419.45,226.81,381.53,244.9,253.24,3702.02
EXP-00164,CUST-00164,1194.0,480.22,222.41,196.95,180.12,204.38,115.04,2593.13
EXP-00165,CUST-00165,696.65,608.49,344.7,151.9,350.67,208.14,159.2,2519.76
EXP-00166,CUST-00166,804.79,539.18,226.75,164.44,267.03,219.65,154.97,2376.8
EXP-00167,CUST-00167,1539.37,1329.56,543.31,342.72,336.38,536.93,357.76,4986.03
EXP-00168,CUST-00168,873.49,420.62,196.67,122.65,297.62,181.46,152.79,2245.29
EXP-00169,CUST-00169,1970.27,1021.43,744.46,288.37,313.04,427.19,415.96,5180.72
EXP-00170,CUST-00170,1408.48,964.14,320.47,352.38,504.56,305.13,154.78,4009.95
EXP-00171,CUST-00171,3980.6,1824.41,1359.85,855.38,890.27,918.11,542.03,10370.65
EXP-00172,CUST-00172,1777.86,626.48,398.4,154.93,244.32,319.78,256.67,3778.43
EXP-00173,CUST-00173,1326.1,630.52,341.18,266.91,374.17,317.63,176.48,3432.99
EXP-00174,CUST-00174,3705.82,1636.32,898.92,406.48,978.02,664.92,332.63,8623.11
EXP-00175,CUST-00175,1493.25,729.4,467.44,171.91,176.42,247.58,177.38,3463.39
EXP-00176,CUST-00176,3996.83,1772.06,947.71,504.17,438.96,550.18,439.03,8648.95
EXP-00177,CUST-00177,1308.23,677.18,316.54,217.41,332.23,261.78,91.69,3205.07
EXP-00178,CUST-00178,170.46,100.0,60.58,30.0,55.23,40.0,21.26,477.53
EXP-00179,CUST-00179,3912.07,1213.48,557.05,662.69,377.54,639.46,466.17,7828.45
EXP-00180,CUST-00180,2154.62,1174.21,703.45,397.39,642.84,417.53,210.74,5700.79
EXP-00181,CUST-00181,889.45,487.02,194.61,98.96,139.49,235.42,153.42,2198.36
EXP-00182,CUST-00182,2024.04,1179.71,684.53,356.87,647.19,397.93,195.04,5485.3
EXP-00183,CUST-00183,1337.33,1079.23,456.07,357.5,541.21,437.87,288.0,4497.2
EXP-00184,CUST-00184,3344.92,1902.81,1125.35,766.87,1025.7,586.72,452.8,9205.17
EXP-00185,CUST-00185,251.45,170.63,99.83,67.48,60.03,76.13,49.54,775.09
EXP-00186,CUST-00186,1313.75,490.74,279.01,244.88,219.79,231.1,111.97,2891.23
EXP-00187,CUST-00187,1130.74,915.4,536.55,320.06,601.31,308.86,278.28,4091.19
EXP-00188,CUST-00188,1032.32,563.76,470.71,228.09,413.39,269.85,175.69,3153.8
EXP-00189,CUST-00189,3237.73,1954.78,764.68,487.12,842.6,607.81,521.54,8416.27
EXP-00190,CUST-00190,1162.09,683.33,320.33,178.81,261.09,280.32,109.91,2995.88
EXP-00191,CUST-00191,3250.41,1764.34,957.73,657.84,583.35,940.28,365.08,8519.02
EXP-00192,CUST-00192,2114.21,1134.89,478.45,216.91,621.27,458.59,248.98,5273.29
EXP-00193,CUST-00193,1839.45,1231.03,512.57,437.33,383.67,428.76,353.15,5185.96
EXP-00194,CUST-00194,343.34,168.71,107.04,79.59,87.19,84.43,58.9,929.19
EXP-00195,CUST-00195,4401.31,1741.54,1134.89,534.48,1120.3,711.1,717.02,10360.64
EXP-00196,CUST-00196,1902.02,664.04,488.52,365.38,397.72,357.84,233.65,4409.18
EXP-00197,CUST-00197,1643.88,829.39,363.58,305.49,302.27,372.51,323.87,4140.99
EXP-00198,CUST-00198,1941.39,888.89,358.03,215.89,366.5,448.1,172.72,4391.51
EXP-00199,CUST-00199,2194.38,1249.2,616.63,622.35,637.72,524.98,189.05,6034.3
EXP-00200,CUST-00200,3163.01,1663.31,649.65,364.61,427.41,743.48,540.12,7551.6
EXP-00201,CUST-00201,1573.41,697.18,463.0,336.42,215.62,324.81,192.9,3803.34
EXP-00202,CUST-00202,3051.5,1674.78,982.79,423.13,702.24,622.48,342.19,7799.11
EXP-00203,CUST-00203,2298.27,948.06,781.84,331.42,326.88,534.19,357.48,5578.13
EXP-00204,CUST-00204,1478.63,817.93,281.64,249.84,433.7,270.67,180.24,3712.65
EXP-00205,CUST-00205,820.09,455.88,300.43,164.9,302.4,160.99,112.59,2317.28
EXP-00206,CUST-00206,863.31,569.68,361.86,263.88,219.47,245.6,248.28,2772.07
EXP-00207,CUST-00207,4612.62,2087.81,1431.97,1028.86,841.39,1060.59,600.18,11663.41
