product_id,customer_id,product_type,product_status,signup_date
PROD-00001,CUST-00001,Savings Account,Active,2021-01-17
PROD-00002,CUST-00001,Personal Loan,Active,2023-10-06
PROD-00003,CUST-00002,Savings Account,Active,2022-03-15
PROD-00004,CUST-00002,Retirement Account,Active,2025-03-06
PROD-00005,CUST-00003,Savings Account,Active,2019-12-13
PROD-00006,CUST-00003,Auto Loan,Active,2022-10-31
PROD-00007,CUST-00004,Savings Account,Active,2019-02-17
PROD-00008,CUST-00004,Credit Card,Closed,2025-04-30
PROD-00009,CUST-00005,Savings Account,Active,2022-11-01
PROD-00010,CUST-00005,Credit Card,Active,2023-05-10
PROD-00011,CUST-00006,Savings Account,Active,2020-07-03
PROD-00012,CUST-00006,Credit Card,Churned,2025-01-31
PROD-00013,CUST-00007,Savings Account,Active,2022-09-06
PROD-00014,CUST-00007,Personal Loan,Closed,2023-12-31
PROD-00015,CUST-00007,Mortgage,Active,2025-03-07
PROD-00016,CUST-00008,Savings Account,Active,2019-11-16
PROD-00017,CUST-00009,Savings Account,Active,2019-07-05
PROD-00018,CUST-00009,Investment Account,Active,2025-02-05
PROD-00019,CUST-00009,Auto Loan,Active,2019-12-30
PROD-00020,CUST-00009,Personal Loan,Closed,2023-08-24
PROD-00021,CUST-00010,Savings Account,Active,2024-10-08
PROD-00022,CUST-00010,Mortgage,Active,2025-07-13
PROD-00023,CUST-00011,Savings Account,Active,2021-10-22
PROD-00024,CUST-00012,Savings Account,Active,2020-05-06
PROD-00025,CUST-00012,Investment Account,Active,2021-12-25
PROD-00026,CUST-00013,Savings Account,Active,2021-07-21
PROD-00027,CUST-00013,Credit Card,Active,2021-12-26
PROD-00028,CUST-00014,Savings Account,Active,2024-02-13
PROD-00029,CUST-00014,Auto Loan,Closed,2025-05-30
PROD-00030,CUST-00014,Investment Account,Active,2024-04-19
PROD-00031,CUST-00015,Savings Account,Active,2018-03-28
PROD-00032,CUST-00016,Savings Account,Active,2023-08-08
PROD-00033,CUST-00017,Savings Account,Active,2022-02-20
PROD-00034,CUST-00017,Personal Loan,Churned,2025-10-04
PROD-00035,CUST-00017,Investment Account,Active,2024-10-13
PROD-00036,CUST-00018,Savings Account,Active,2020-04-12
PROD-00037,CUST-00018,Credit Card,Active,2023-05-18
PROD-00038,CUST-00019,Savings Account,Active,2022-01-31
PROD-00039,CUST-00020,Savings Account,Active,2024-01-26
PROD-00040,CUST-00021,Savings Account,Active,2023-01-21
PROD-00041,CUST-00021,Retirement Account,Active,2024-06-18
PROD-00042,CUST-00021,Investment Account,Active,2024-11-30
PROD-00043,CUST-00022,Savings Account,Active,2022-01-06
PROD-00044,CUST-00023,Savings Account,Active,2020-12-04
PROD-00045,CUST-00023,Mortgage,Active,2024-03-12
PROD-00046,CUST-00024,Savings Account,Active,2021-09-08
PROD-00047,CUST-00025,Savings Account,Active,2023-08-07
PROD-00048,CUST-00025,Investment Account,Active,2025-02-27
PROD-00049,CUST-00025,Retirement Account,Active,2025-10-08
PROD-00050,CUST-00026,Savings Account,Active,2023-08-07
PROD-00051,CUST-00026,Auto Loan,Active,2024-09-30
PROD-00052,CUST-00027,Savings Account,Active,2021-05-10
PROD-00053,CUST-00028,Savings Account,Active,2018-10-03
PROD-00054,CUST-00029,Savings Account,Active,2018-05-31
PROD-00055,CUST-00029,Personal Loan,Closed,2018-12-12
PROD-00056,CUST-00029,Credit Card,Active,2022-10-06
PROD-00057,CUST-00030,Savings Account,Active,2024-02-18
PROD-00058,CUST-00030,Retirement Account,Active,2024-08-14
PROD-00059,CUST-00031,Savings Account,Active,2021-11-16
PROD-00060,CUST-00032,Savings Account,Active,2024-11-01
PROD-00061,CUST-00032,Auto Loan,Closed,2025-07-19
PROD-00062,CUST-00033,Savings Account,Active,2019-01-09
PROD-00063,CUST-00033,Personal Loan,Active,2019-01-17
PROD-00064,CUST-00034,Savings Account,Active,2023-10-09
PROD-00065,CUST-00034,Personal Loan,Active,2023-11-27
PROD-00066,CUST-00034,Investment Account,Active,2023-10-11
PROD-00067,CUST-00035,Savings Account,Active,2018-06-05
PROD-00068,CUST-00035,Auto Loan,Active,2022-06-15
PROD-00069,CUST-00035,Personal Loan,Closed,2021-04-23
PROD-00070,CUST-00036,Savings Account,Active,2022-04-04
PROD-00071,CUST-00036,Personal Loan,Active,2023-11-19
PROD-00072,CUST-00036,Mortgage,Pending,2022-06-17
PROD-00073,CUST-00037,Savings Account,Active,2019-06-22
PROD-00074,CUST-00037,Credit Card,Active,2023-01-04
PROD-00075,CUST-00037,Auto Loan,Churned,2023-04-10
PROD-00076,CUST-00038,Savings Account,Active,2023-01-06
PROD-00077,CUST-00039,Savings Account,Active,2020-09-23
PROD-00078,CUST-00040,Savings Account,Active,2024-08-18
PROD-00079,CUST-00040,Investment Account,Active,2025-03-18
PROD-00080,CUST-00040,Credit Card,Closed,2025-03-13
PROD-00081,CUST-00041,Savings Account,Active,2021-11-27
PROD-00082,CUST-00041,Auto Loan,Active,2025-11-10
PROD-00083,CUST-00042,Savings Account,Active,2019-08-28
PROD-00084,CUST-00042,Retirement Account,Closed,2025-01-17
PROD-00085,CUST-00043,Savings Account,Active,2023-08-05
PROD-00086,CUST-00043,Investment Account,Active,2024-01-05
PROD-00087,CUST-00044,Savings Account,Active,2019-02-05
